日付,1番,2番,3番,4番,5番,6番,7番,8番,9番,勝敗,スコア,対戦相手,先発投手,責任投手,球場,開始
3月26日(金),西川 遥輝,松本 剛,近藤 健介,中田 翔,渡邉 諒,大田 泰示,野村 佑希,清水 優心,中島 卓也,●,2 - 8,楽天,上沢,●上沢,楽天生命パーク,16:00
3月27日(土),西川 遥輝,淺間 大基,近藤 健介,中田 翔,渡邉 諒,大田 泰示,野村 佑希,宇佐見 真吾,中島 卓也,○,9 - 4,楽天,加藤,○加藤,楽天生命パーク,14:00
3月28日(日),西川 遥輝,近藤 健介,渡邉 諒,中田 翔,野村 佑希,大田 泰示,樋口 龍之介,清水 優心,中島 卓也,●,0 - 5,楽天,池田,●池田,楽天生命パーク,13:00
3月30日(火),西川 遥輝,近藤 健介,渡邉 諒,中田 翔,野村 佑希,淺間 大基,大田 泰示,清水 優心,中島 卓也,●,4 - 11,西武,河野,●河野,札幌ドーム,18:30
3月31日(水),西川 遥輝,近藤 健介,渡邉 諒,中田 翔,野村 佑希,淺間 大基,大田 泰示,宇佐見 真吾,石井 一成,△,1 - 1,西武,伊藤,,札幌ドーム,18:00
4月2日(金),西川 遥輝,近藤 健介,渡邉 諒,中田 翔,野村 佑希,淺間 大基,大田 泰示,宇佐見 真吾,石井 一成,●,4 - 16,ロッテ,吉田,●吉田,札幌ドーム,18:00
4月3日(土),西川 遥輝,谷口 雄也,近藤 健介,中田 翔,渡邉 諒,淺間 大基,樋口 龍之介,清水 優心,中島 卓也,●,5 - 6,ロッテ,上沢,●上沢,札幌ドーム,14:00
4月4日(日),西川 遥輝,杉谷 拳士,近藤 健介,中田 翔,渡邉 諒,大田 泰示,樋口 龍之介,清水 優心,中島 卓也,△,1 - 1,ロッテ,加藤,,札幌ドーム,14:00
4月6日(火),西川 遥輝,近藤 健介,渡邉 諒,中田 翔,野村 佑希,淺間 大基,松本 剛,清水 優心,中島 卓也,●,0 - 7,ソフトバンク,池田,●池田,札幌ドーム,18:00
4月7日(水),西川 遥輝,渡邉 諒,近藤 健介,中田 翔,野村 佑希,淺間 大基,大田 泰示,宇佐見 真吾,中島 卓也,●,2 - 6,ソフトバンク,伊藤,●伊藤,札幌ドーム,18:00
