日付,1番,2番,3番,4番,5番,6番,7番,8番,9番,勝敗,スコア,対戦相手,先発投手,責任投手,球場,開始
4月8日(木),西川 遥輝,渡邉 諒,野村 佑希,近藤 健介,大田 泰示,淺間 大基,樋口 龍之介,清水 優心,石井 一成,●,2 - 4,ソフトバンク,河野,●宮西,札幌ドーム,18:00
4月9日(金),西川 遥輝,渡邉 諒,近藤 健介,中田 翔,野村 佑希,淺間 大基,大田 泰示,宇佐見 真吾,中島 卓也,○,2 - 1,オリックス,金子,○堀,京セラD大阪,18:00
4月10日(土),西川 遥輝,渡邉 諒,近藤 健介,中田 翔,野村 佑希,淺間 大基,万波 中正,清水 優心,石井 一成,○,5 - 2,オリックス,上沢,○宮西,京セラD大阪,14:00
4月11日(日),西川 遥輝,髙濱 祐仁,大田 泰示,中田 翔,渡邉 諒,樋口 龍之介,万波 中正,清水 優心,石井 一成,△,4 - 4,オリックス,加藤,,京セラD大阪,13:00
4月13日(火),西川 遥輝,渡邉 諒,近藤 健介,中田 翔,淺間 大基,大田 泰示,樋口 龍之介,清水 優心,上野 響平,○,3 - 2,西武,池田,○池田,メットライフ,17:45
4月14日(水),西川 遥輝,渡邉 諒,近藤 健介,中田 翔,淺間 大基,大田 泰示,樋口 龍之介,清水 優心,石井 一成,●,1 - 2,西武,伊藤,●伊藤,メットライフ,17:45
4月16日(金),西川 遥輝,髙濱 祐仁,近藤 健介,中田 翔,淺間 大基,今川 優馬,郡 拓也,清水 優心,石井 一成,●,1 - 4,楽天,バーヘイゲン,●堀,東京ドーム,17:45
4月17日(土),西川 遥輝,渡邉 諒,近藤 健介,中田 翔,淺間 大基,大田 泰示,石井 一成,清水 優心,中島 卓也,○,4 - 1,楽天,上沢,○上沢,東京ドーム,14:00
4月18日(日),郡 拓也,髙濱 祐仁,近藤 健介,中田 翔,大田 泰示,今川 優馬,万波 中正,石川 亮,上野 響平,●,1 - 4,楽天,アーリン,●金子,東京ドーム,14:00
4月20日(火),郡 拓也,西川 遥輝,近藤 健介,中田 翔,淺間 大基,渡邉 諒,大田 泰示,清水 優心,石井 一成,●,4 - 8,ロッテ,加藤,●宮西,ZOZOマリン,18:00
4月21日(水),郡 拓也,西川 遥輝,近藤 健介,中田 翔,淺間 大基,渡邉 諒,大田 泰示,清水 優心,石井 一成,●,5 - 6,ロッテ,伊藤,●杉浦,ZOZOマリン,18:00
4月22日(木),大田 泰示,髙濱 祐仁,西川 遥輝,近藤 健介,淺間 大基,R.ロドリゲス,渡邉 諒,石川 亮,石井 一成,○,3 - 1,ロッテ,池田,○池田,ZOZOマリン,18:00
4月23日(金),大田 泰示,髙濱 祐仁,西川 遥輝,近藤 健介,淺間 大基,渡邉 諒,R.ロドリゲス,石川 亮,中島 卓也,●,1 - 6,オリックス,バーヘイゲン,●バーヘイゲン,札幌ドーム,18:00
4月24日(土),郡 拓也,渡邉 諒,西川 遥輝,近藤 健介,大田 泰示,淺間 大基,中田 翔,清水 優心,石井 一成,○,5 - 3,オリックス,上沢,○上沢,札幌ドーム,14:00
4月25日(日),郡 拓也,渡邉 諒,西川 遥輝,近藤 健介,中田 翔,淺間 大基,R.ロドリゲス,石川 亮,石井 一成,△,4 - 4,オリックス,金子,,札幌ドーム,14:00
4月27日(火),郡 拓也,中田 翔,西川 遥輝,近藤 健介,渡邉 諒,大田 泰示,今川 優馬,清水 優心,石井 一成,○,7 - 2,ソフトバンク,加藤,○加藤,PayPayドーム,18:00
4月28日(水),郡 拓也,中田 翔,西川 遥輝,近藤 健介,渡邉 諒,淺間 大基,大田 泰示,石川 亮,石井 一成,○,4 - 3,ソフトバンク,伊藤,○伊藤,PayPayドーム,18:00
4月29日(木),郡 拓也,中田 翔,西川 遥輝,渡邉 諒,淺間 大基,大田 泰示,王 柏融,石川 亮,石井 一成,●,1 - 2,ソフトバンク,池田,●池田,PayPayドーム,13:00
4月30日(金),大田 泰示,王 柏融,近藤 健介,中田 翔,渡邉 諒,R.ロドリゲス,石井 一成,今川 優馬,石川 亮,●,1 - 5,西武,バーヘイゲン,●バーヘイゲン,札幌ドーム,18:00
5月1日(土),杉谷 拳士,平沼 翔太,中田 翔,近藤 健介,渡邉 諒,大田 泰示,石井 一成,万波 中正,石川 亮,○,5 - 4,西武,上沢,○谷川,札幌ドーム,14:00
5月7日(金),杉谷 拳士,平沼 翔太,近藤 健介,中田 翔,王 柏融,大田 泰示,石井 一成,万波 中正,宇佐見 真吾,○,6 - 1,楽天,バーヘイゲン,○バーヘイゲン,札幌ドーム,18:00
5月8日(土),五十幡 亮汰,杉谷 拳士,近藤 健介,中田 翔,王 柏融,石井 一成,万波 中正,平沼 翔太,宇佐見 真吾,○,4 - 1,楽天,上沢,○上沢,札幌ドーム,14:00
5月9日(日),五十幡 亮汰,杉谷 拳士,王 柏融,近藤 健介,万波 中正,石井 一成,樋口 龍之介,今井 順之助,宇佐見 真吾,●,3 - 6,楽天,池田,●池田,札幌ドーム,14:00
5月11日(火),万波 中正,杉谷 拳士,近藤 健介,中田 翔,王 柏融,大田 泰示,樋口 龍之介,石井 一成,宇佐見 真吾,●,1 - 9,オリックス,金子,●金子,東京ドーム,17:45
5月12日(水),五十幡 亮汰,杉谷 拳士,近藤 健介,中田 翔,王 柏融,大田 泰示,石井 一成,樋口 龍之介,宇佐見 真吾,○,2 - 1,オリックス,加藤,○加藤,東京ドーム,17:45
5月14日(金),五十幡 亮汰,杉谷 拳士,近藤 健介,中田 翔,王 柏融,大田 泰示,石井 一成,樋口 龍之介,宇佐見 真吾,●,2 - 5,ソフトバンク,伊藤,●伊藤,札幌ドーム,18:00
5月15日(土),淺間 大基,杉谷 拳士,近藤 健介,王 柏融,大田 泰示,中田 翔,石井 一成,樋口 龍之介,宇佐見 真吾,●,3 - 7,ソフトバンク,バーヘイゲン,●バーヘイゲン,札幌ドーム,14:00
5月16日(日),西川 遥輝,渡邉 諒,近藤 健介,王 柏融,大田 泰示,石井 一成,樋口 龍之介,平沼 翔太,鶴岡 慎也,△,2 - 2,ソフトバンク,上沢,,札幌ドーム,14:00
5月18日(火),西川 遥輝,渡邉 諒,近藤 健介,王 柏融,大田 泰示,石井 一成,樋口 龍之介,平沼 翔太,鶴岡 慎也,●,2 - 3,楽天,金子,●B.ロドリゲス,楽天生命パーク,18:00
5月19日(水),西川 遥輝,渡邉 諒,近藤 健介,王 柏融,淺間 大基,大田 泰示,石井 一成,平沼 翔太,清水 優心,●,2 - 3,楽天,加藤,●加藤,楽天生命パーク,18:00
5月20日(木),五十幡 亮汰,西川 遥輝,近藤 健介,王 柏融,渡邉 諒,淺間 大基,石井 一成,平沼 翔太,石川 亮,○,4 - 1,楽天,池田,○堀,楽天生命パーク,18:00
5月21日(金),五十幡 亮汰,郡 拓也,西川 遥輝,王 柏融,渡邉 諒,大田 泰示,石井 一成,平沼 翔太,石川 亮,●,1 - 7,西武,伊藤,●伊藤,メットライフ,17:45
5月22日(土),杉谷 拳士,平沼 翔太,西川 遥輝,王 柏融,渡邉 諒,淺間 大基,大田 泰示,石井 一成,清水 優心,●,1 - 8,西武,バーヘイゲン,●バーヘイゲン,メットライフ,14:00
5月23日(日),五十幡 亮汰,平沼 翔太,西川 遥輝,王 柏融,渡邉 諒,淺間 大基,石井 一成,鶴岡 慎也,杉谷 拳士,○,10 - 3,西武,アーリン,○アーリン,メットライフ,14:00
5月25日(火),五十幡 亮汰,平沼 翔太,西川 遥輝,王 柏融,渡邉 諒,R.ロドリゲス,石井 一成,清水 優心,上沢 直之,○,4 - 2,ヤクルト,上沢,○上沢,神宮,17:30
5月26日(水),五十幡 亮汰,髙濱 祐仁,西川 遥輝,渡邉 諒,大田 泰示,R.ロドリゲス,石井 一成,石川 亮,加藤 貴之,●,3 - 4,ヤクルト,加藤,●加藤,神宮,17:30
5月27日(木),五十幡 亮汰,平沼 翔太,西川 遥輝,近藤 健介,渡邉 諒,R.ロドリゲス,石井 一成,石川 亮,池田 隆英,●,2 - 5,ヤクルト,池田,●池田,神宮,17:30
5月28日(金),淺間 大基,髙濱 祐仁,西川 遥輝,近藤 健介,渡邉 諒,大田 泰示,石井 一成,石川 亮,平沼 翔太,○,10 - 1,中日,伊藤,○伊藤,札幌ドーム,18:00
5月29日(土),五十幡 亮汰,髙濱 祐仁,西川 遥輝,近藤 健介,渡邉 諒,淺間 大基,石井 一成,平沼 翔太,清水 優心,●,4 - 7,中日,バーヘイゲン,●B.ロドリゲス,札幌ドーム,14:00
5月30日(日),五十幡 亮汰,髙濱 祐仁,西川 遥輝,近藤 健介,王 柏融,渡邉 諒,石井 一成,鶴岡 慎也,平沼 翔太,●,1 - 4,中日,アーリン,●アーリン,札幌ドーム,14:00
6月1日(火),五十幡 亮汰,髙濱 祐仁,西川 遥輝,近藤 健介,渡邉 諒,石井 一成,平沼 翔太,清水 優心,上沢 直之,○,7 - 3,広島,上沢,○上沢,マツダスタジアム,18:00
6月2日(水),淺間 大基,髙濱 祐仁,西川 遥輝,近藤 健介,渡邉 諒,石井 一成,平沼 翔太,清水 優心,加藤 貴之,●,0 - 3,広島,加藤,●加藤,マツダスタジアム,18:00
6月4日(金),大田 泰示,西川 遥輝,近藤 健介,中田 翔,渡邉 諒,野村 佑希,石井 一成,石川 亮,池田 隆英,●,0 - 6,巨人,池田,●池田,東京ドーム,17:45
6月5日(土),五十幡 亮汰,平沼 翔太,近藤 健介,中田 翔,王 柏融,渡邉 諒,石井 一成,石川 亮,立野 和明,○,6 - 4,巨人,立野,○河野,東京ドーム,17:45
6月6日(日),五十幡 亮汰,渡邉 諒,近藤 健介,中田 翔,王 柏融,野村 佑希,石井 一成,石川 亮,伊藤 大海,○,4 - 2,巨人,伊藤,○伊藤,東京ドーム,14:00
6月8日(火),五十幡 亮汰,西川 遥輝,近藤 健介,中田 翔,王 柏融,渡邉 諒,野村 佑希,石井 一成,清水 優心,●,2 - 3,阪神,上沢,●杉浦,札幌ドーム,18:00
6月9日(水),淺間 大基,髙濱 祐仁,西川 遥輝,近藤 健介,王 柏融,渡邉 諒,郡 拓也,石井 一成,清水 優心,●,3 - 10,阪神,加藤,●加藤,札幌ドーム,18:00
6月10日(木),淺間 大基,西川 遥輝,近藤 健介,髙濱 祐仁,王 柏融,渡邉 諒,野村 佑希,石井 一成,清水 優心,●,2 - 4,阪神,アーリン,●アーリン,札幌ドーム,18:00
6月11日(金),淺間 大基,万波 中正,髙濱 祐仁,近藤 健介,渡邉 諒,野村 佑希,大田 泰示,谷内 亮太,清水 優心,●,0 - 4,DeNA,金子,●金子,札幌ドーム,18:00
6月12日(土),淺間 大基,西川 遥輝,髙濱 祐仁,近藤 健介,王 柏融,渡邉 諒,平沼 翔太,石井 一成,石川 亮,○,4 - 3,DeNA,池田,○池田,札幌ドーム,14:00
6月13日(日),西川 遥輝,髙濱 祐仁,近藤 健介,王 柏融,渡邉 諒,野村 佑希,万波 中正,石川 亮,谷内 亮太,●,1 - 4,DeNA,バーヘイゲン,●バーヘイゲン,札幌ドーム,14:00
6月16日(水),淺間 大基,髙濱 祐仁,近藤 健介,王 柏融,渡邉 諒,野村 佑希,石井 一成,石川 亮,伊藤 大海,○,8 - 1,広島,伊藤,○伊藤,マツダスタジアム,18:00
6月18日(金),淺間 大基,西川 遥輝,髙濱 祐仁,近藤 健介,王 柏融,渡邉 諒,野村 佑希,石川 亮,石井 一成,○,2 - 1,ソフトバンク,上沢,○上沢,PayPayドーム,18:00
6月19日(土),淺間 大基,西川 遥輝,髙濱 祐仁,近藤 健介,王 柏融,渡邉 諒,石井 一成,石川 亮,平沼 翔太,△,5 - 5,ソフトバンク,立野,,PayPayドーム,14:00
6月20日(日),淺間 大基,西川 遥輝,髙濱 祐仁,近藤 健介,渡邉 諒,野村 佑希,万波 中正,清水 優心,石井 一成,△,1 - 1,ソフトバンク,加藤,,PayPayドーム,13:00
6月22日(火),淺間 大基,西川 遥輝,髙濱 祐仁,近藤 健介,王 柏融,渡邉 諒,平沼 翔太,石井 一成,清水 優心,●,2 - 5,オリックス,バーヘイゲン,●バーヘイゲン,京セラD大阪,18:00
6月23日(水),淺間 大基,西川 遥輝,髙濱 祐仁,近藤 健介,渡邉 諒,野村 佑希,万波 中正,石川 亮,石井 一成,●,1 - 3,オリックス,池田,●池田,京セラD大阪,18:00
6月24日(木),西川 遥輝,髙濱 祐仁,近藤 健介,王 柏融,渡邉 諒,野村 佑希,万波 中正,石川 亮,石井 一成,○,5 - 2,オリックス,伊藤,○伊藤,京セラD大阪,18:00
6月26日(土),西川 遥輝,髙濱 祐仁,近藤 健介,王 柏融,渡邉 諒,野村 佑希,万波 中正,石川 亮,石井 一成,●,1 - 3,ロッテ,上沢,●上沢,静岡,18:00
6月27日(日),西川 遥輝,髙濱 祐仁,野村 佑希,近藤 健介,渡邉 諒,万波 中正,R.ロドリゲス,清水 優心,石井 一成,●,3 - 8,ロッテ,加藤,●加藤,静岡,14:00
6月29日(火),西川 遥輝,髙濱 祐仁,近藤 健介,王 柏融,野村 佑希,渡邉 諒,万波 中正,石川 亮,中島 卓也,△,5 - 5,楽天,バーヘイゲン,,楽天生命パーク,18:00
6月30日(水),西川 遥輝,髙濱 祐仁,近藤 健介,王 柏融,野村 佑希,渡邉 諒,万波 中正,石川 亮,石井 一成,○,3 - 0,楽天,立野,○立野,楽天生命パーク,18:00
7月1日(木),西川 遥輝,髙濱 祐仁,近藤 健介,王 柏融,野村 佑希,渡邉 諒,万波 中正,石川 亮,石井 一成,○,2 - 1,楽天,伊藤,○伊藤,楽天生命パーク,18:00
7月3日(土),淺間 大基,西川 遥輝,髙濱 祐仁,近藤 健介,王 柏融,野村 佑希,渡邉 諒,石井 一成,石川 亮,●,1 - 7,ソフトバンク,上沢,●上沢,那覇,17:45
7月4日(日),淺間 大基,西川 遥輝,髙濱 祐仁,近藤 健介,野村 佑希,渡邉 諒,万波 中正,石井 一成,清水 優心,●,0 - 5,ソフトバンク,池田,●池田,那覇,17:45
7月6日(火),淺間 大基,髙濱 祐仁,近藤 健介,王 柏融,渡邉 諒,野村 佑希,万波 中正,石井 一成,清水 優心,○,4 - 3,西武,加藤,○杉浦,旭川,18:00
7月7日(水),淺間 大基,西川 遥輝,髙濱 祐仁,近藤 健介,王 柏融,渡邉 諒,野村 佑希,石井 一成,清水 優心,○,2 - 1,西武,アーリン,○バーヘイゲン,旭川,18:00
7月9日(金),淺間 大基,西川 遥輝,髙濱 祐仁,近藤 健介,渡邉 諒,野村 佑希,万波 中正,石井 一成,石川 亮,○,6 - 1,ロッテ,伊藤,○伊藤,ZOZOマリン,17:45
7月10日(土),淺間 大基,西川 遥輝,髙濱 祐仁,近藤 健介,渡邉 諒,野村 佑希,万波 中正,清水 優心,石井 一成,△,4 - 4,ロッテ,上沢,,ZOZOマリン,17:00
7月13日(火),淺間 大基,西川 遥輝,髙濱 祐仁,近藤 健介,王 柏融,渡邉 諒,野村 佑希,石井 一成,清水 優心,●,0 - 5,オリックス,池田,●池田,釧路,13:00
7月14日(水),淺間 大基,西川 遥輝,髙濱 祐仁,近藤 健介,渡邉 諒,野村 佑希,万波 中正,石井 一成,石川 亮,○,6 - 2,オリックス,加藤,○河野,帯広,13:00
8月13日(金),淺間 大基,西川 遥輝,髙濱 祐仁,近藤 健介,王 柏融,渡邉 諒,野村 佑希,石井 一成,石川 亮,●,0 - 3,ソフトバンク,加藤,●加藤,PayPayドーム,18:00
8月14日(土),淺間 大基,西川 遥輝,髙濱 祐仁,近藤 健介,渡邉 諒,野村 佑希,大田 泰示,石井 一成,清水 優心,●,0 - 2,ソフトバンク,上沢,●上沢,PayPayドーム,14:00
8月15日(日),淺間 大基,西川 遥輝,髙濱 祐仁,近藤 健介,王 柏融,郡 拓也,R.ロドリゲス,中島 卓也,清水 優心,△,0 - 0,ソフトバンク,バーヘイゲン,,PayPayドーム,13:00
8月18日(水),西川 遥輝,近藤 健介,野村 佑希,王 柏融,淺間 大基,髙濱 祐仁,石井 一成,渡邉 諒,清水 優心,●,2 - 5,オリックス,河野,●河野,ほっと神戸,18:00
8月20日(金),西川 遥輝,近藤 健介,野村 佑希,王 柏融,髙濱 祐仁,淺間 大基,佐藤 龍世,石井 一成,清水 優心,△,3 - 3,楽天,加藤,,札幌ドーム,18:00
8月21日(土),西川 遥輝,近藤 健介,野村 佑希,王 柏融,淺間 大基,R.ロドリゲス,佐藤 龍世,石井 一成,石川 亮,●,4 - 8,楽天,伊藤,●伊藤,札幌ドーム,15:00
8月22日(日),西川 遥輝,淺間 大基,野村 佑希,近藤 健介,王 柏融,髙濱 祐仁,R.ロドリゲス,中島 卓也,清水 優心,○,2 - 1,楽天,上沢,○上沢,札幌ドーム,14:00
8月24日(火),淺間 大基,西川 遥輝,野村 佑希,近藤 健介,王 柏融,髙濱 祐仁,R.ロドリゲス,中島 卓也,清水 優心,△,3 - 3,ロッテ,バーヘイゲン,,札幌ドーム,18:30
8月25日(水),郡 拓也,佐藤 龍世,近藤 健介,野村 佑希,髙濱 祐仁,木村 文紀,大田 泰示,中島 卓也,清水 優心,●,4 - 7,ロッテ,河野,●河野,札幌ドーム,18:00
8月27日(金),淺間 大基,西川 遥輝,野村 佑希,近藤 健介,髙濱 祐仁,木村 文紀,佐藤 龍世,中島 卓也,清水 優心,○,7 - 2,西武,池田,○井口,メットライフ,17:45
8月28日(土),淺間 大基,西川 遥輝,野村 佑希,近藤 健介,王 柏融,髙濱 祐仁,R.ロドリゲス,石井 一成,石川 亮,△,8 - 8,西武,加藤,,メットライフ,17:00
8月29日(日),淺間 大基,西川 遥輝,野村 佑希,近藤 健介,王 柏融,髙濱 祐仁,R.ロドリゲス,石井 一成,清水 優心,○,6 - 0,西武,伊藤,○伊藤,メットライフ,17:00
8月31日(火),西川 遥輝,木村 文紀,近藤 健介,野村 佑希,髙濱 祐仁,大田 泰示,佐藤 龍世,石井 一成,清水 優心,○,3 - 1,オリックス,上沢,○上沢,札幌ドーム,13:00
9月1日(水),西川 遥輝,木村 文紀,近藤 健介,野村 佑希,髙濱 祐仁,淺間 大基,佐藤 龍世,石井 一成,清水 優心,○,12 - 1,オリックス,バーヘイゲン,○バーヘイゲン,札幌ドーム,18:00
9月2日(木),淺間 大基,西川 遥輝,野村 佑希,近藤 健介,王 柏融,郡 拓也,石井 一成,R.ロドリゲス,清水 優心,△,6 - 6,オリックス,河野,,札幌ドーム,18:00
9月3日(金),西川 遥輝,佐藤 龍世,近藤 健介,野村 佑希,髙濱 祐仁,淺間 大基,大田 泰示,中島 卓也,石川 亮,●,5 - 7,ロッテ,池田,●井口,ZOZOマリン,17:45
9月4日(土),淺間 大基,西川 遥輝,野村 佑希,近藤 健介,髙濱 祐仁,木村 文紀,佐藤 龍世,石井 一成,清水 優心,△,3 - 3,ロッテ,加藤,,ZOZOマリン,17:00
9月5日(日),淺間 大基,西川 遥輝,野村 佑希,近藤 健介,髙濱 祐仁,木村 文紀,佐藤 龍世,石井 一成,清水 優心,●,1 - 2,ロッテ,立野,●立野,ZOZOマリン,17:00
9月7日(火),淺間 大基,西川 遥輝,野村 佑希,近藤 健介,髙濱 祐仁,佐藤 龍世,郡 拓也,石井 一成,清水 優心,○,4 - 2,楽天,伊藤,○伊藤,札幌ドーム,18:00
9月8日(水),淺間 大基,西川 遥輝,野村 佑希,近藤 健介,王 柏融,佐藤 龍世,R.ロドリゲス,石井 一成,清水 優心,●,0 - 8,楽天,上沢,●上沢,札幌ドーム,18:00
9月9日(木),淺間 大基,西川 遥輝,野村 佑希,近藤 健介,王 柏融,髙濱 祐仁,佐藤 龍世,中島 卓也,清水 優心,●,0 - 4,楽天,バーヘイゲン,●バーヘイゲン,札幌ドーム,18:00
9月10日(金),西川 遥輝,佐藤 龍世,近藤 健介,野村 佑希,王 柏融,淺間 大基,髙濱 祐仁,石井 一成,宇佐見 真吾,△,4 - 4,ソフトバンク,河野,,札幌ドーム,18:00
9月11日(土),淺間 大基,西川 遥輝,野村 佑希,近藤 健介,王 柏融,髙濱 祐仁,佐藤 龍世,石井 一成,清水 優心,○,17 - 5,ソフトバンク,加藤,○加藤,札幌ドーム,14:00
9月12日(日),松本 剛,西川 遥輝,髙濱 祐仁,野村 佑希,佐藤 龍世,今川 優馬,木村 文紀,清水 優心,中島 卓也,○,3 - 0,ソフトバンク,立野,○立野,札幌ドーム,14:00
9月14日(火),淺間 大基,西川 遥輝,野村 佑希,王 柏融,髙濱 祐仁,佐藤 龍世,石井 一成,今川 優馬,清水 優心,●,1 - 3,西武,池田,●池田,メットライフ,17:45
9月15日(水),淺間 大基,西川 遥輝,野村 佑希,王 柏融,髙濱 祐仁,佐藤 龍世,石井 一成,今川 優馬,清水 優心,△,3 - 3,西武,伊藤,,メットライフ,17:45
9月16日(木),松本 剛,西川 遥輝,野村 佑希,王 柏融,髙濱 祐仁,淺間 大基,R.ロドリゲス,石井 一成,清水 優心,○,3 - 1,西武,上沢,○上沢,メットライフ,17:45
9月18日(土),淺間 大基,西川 遥輝,野村 佑希,近藤 健介,王 柏融,髙濱 祐仁,石井 一成,佐藤 龍世,清水 優心,○,1 - 0,ロッテ,バーヘイゲン,○バーヘイゲン,札幌ドーム,14:00
9月19日(日),松本 剛,西川 遥輝,野村 佑希,近藤 健介,髙濱 祐仁,佐藤 龍世,石井 一成,今川 優馬,清水 優心,●,0 - 4,ロッテ,加藤,●加藤,札幌ドーム,14:00
9月20日(月),淺間 大基,西川 遥輝,野村 佑希,近藤 健介,王 柏融,髙濱 祐仁,佐藤 龍世,石井 一成,清水 優心,●,0 - 1,ロッテ,河野,●河野,札幌ドーム,14:00
9月22日(水),淺間 大基,西川 遥輝,野村 佑希,近藤 健介,王 柏融,髙濱 祐仁,石井 一成,佐藤 龍世,石川 亮,●,3 - 5,オリックス,伊藤,●伊藤,京セラD大阪,18:00
9月23日(木),松本 剛,西川 遥輝,野村 佑希,近藤 健介,髙濱 祐仁,淺間 大基,R.ロドリゲス,清水 優心,中島 卓也,○,4 - 2,オリックス,立野,○立野,京セラD大阪,14:00
9月24日(金),淺間 大基,西川 遥輝,野村 佑希,近藤 健介,王 柏融,髙濱 祐仁,R.ロドリゲス,中島 卓也,清水 優心,○,4 - 1,ソフトバンク,上沢,○上沢,PayPayドーム,18:00
9月25日(土),淺間 大基,西川 遥輝,野村 佑希,近藤 健介,王 柏融,髙濱 祐仁,佐藤 龍世,石井 一成,清水 優心,●,2 - 4,ソフトバンク,バーヘイゲン,●バーヘイゲン,PayPayドーム,14:00
9月26日(日),松本 剛,西川 遥輝,野村 佑希,近藤 健介,髙濱 祐仁,淺間 大基,佐藤 龍世,石井 一成,清水 優心,●,1 - 4,ソフトバンク,加藤,●井口,PayPayドーム,13:00
9月28日(火),松本 剛,西川 遥輝,野村 佑希,近藤 健介,髙濱 祐仁,淺間 大基,佐藤 龍世,清水 優心,石井 一成,○,3 - 1,楽天,河野,○河野,楽天生命パーク,18:00
9月29日(水),五十幡 亮汰,西川 遥輝,野村 佑希,近藤 健介,王 柏融,髙濱 祐仁,石井 一成,佐藤 龍世,石川 亮,●,0 - 5,楽天,伊藤,●伊藤,楽天生命パーク,18:00
9月30日(木),松本 剛,西川 遥輝,野村 佑希,近藤 健介,R.ロドリゲス,佐藤 龍世,今川 優馬,清水 優心,中島 卓也,●,5 - 8,楽天,金子,●金子,楽天生命パーク,18:00
10月1日(金),松本 剛,西川 遥輝,野村 佑希,近藤 健介,髙濱 祐仁,淺間 大基,佐藤 龍世,清水 優心,谷内 亮太,●,2 - 4,西武,立野,●堀,札幌ドーム,18:00
10月2日(土),松本 剛,西川 遥輝,野村 佑希,近藤 健介,王 柏融,R.ロドリゲス,髙濱 祐仁,宇佐見 真吾,谷内 亮太,○,2 - 1,西武,バーヘイゲン,○堀,札幌ドーム,18:00
10月3日(日),五十幡 亮汰,松本 剛,近藤 健介,野村 佑希,髙濱 祐仁,淺間 大基,佐藤 龍世,中島 卓也,清水 優心,○,3 - 2,西武,加藤,○杉浦,札幌ドーム,14:00
10月5日(火),五十幡 亮汰,西川 遥輝,野村 佑希,近藤 健介,髙濱 祐仁,松本 剛,R.ロドリゲス,清水 優心,谷内 亮太,●,0 - 9,オリックス,河野,●河野,京セラD大阪,18:00
10月6日(水),淺間 大基,西川 遥輝,野村 佑希,近藤 健介,髙濱 祐仁,松本 剛,佐藤 龍世,中島 卓也,清水 優心,○,3 - 2,オリックス,上沢,○上沢,京セラD大阪,18:00
10月7日(木),淺間 大基,西川 遥輝,野村 佑希,近藤 健介,髙濱 祐仁,王 柏融,佐藤 龍世,中島 卓也,石川 亮,●,3 - 4,オリックス,伊藤,●伊藤,京セラD大阪,18:00
10月8日(金),五十幡 亮汰,西川 遥輝,野村 佑希,近藤 健介,髙濱 祐仁,淺間 大基,R.ロドリゲス,中島 卓也,清水 優心,○,9 - 0,ロッテ,立野,○立野,札幌ドーム,18:00
10月9日(土),松本 剛,西川 遥輝,野村 佑希,近藤 健介,髙濱 祐仁,R.ロドリゲス,万波 中正,宇佐見 真吾,谷内 亮太,○,4 - 2,ロッテ,バーヘイゲン,○バーヘイゲン,札幌ドーム,14:00
10月10日(日),淺間 大基,西川 遥輝,野村 佑希,近藤 健介,髙濱 祐仁,王 柏融,R.ロドリゲス,中島 卓也,清水 優心,△,4 - 4,ロッテ,加藤,,札幌ドーム,14:00
10月12日(火),淺間 大基,西川 遥輝,野村 佑希,近藤 健介,髙濱 祐仁,R.ロドリゲス,万波 中正,中島 卓也,清水 優心,●,0 - 5,ソフトバンク,河野,●河野,札幌ドーム,18:00
