日付,1番,2番,3番,4番,5番,6番,7番,8番,9番,勝敗,スコア,対戦相手,先発投手,責任投手,球場,開始
7月17日(日),松本 剛,上川畑 大悟,近藤 健介,野村 佑希,清宮 幸太郎,今川 優馬,淺間 大基,清水 優心,石井 一成,●,3 - 4,西武,伊藤,●伊藤,札幌ドーム,13:00
7月18日(月),松本 剛,上川畑 大悟,近藤 健介,野村 佑希,清宮 幸太郎,淺間 大基,王 柏融,宇佐見 真吾,石井 一成,●,1 - 5,西武,池田,●池田,札幌ドーム,13:00
7月19日(火),淺間 大基,松本 剛,近藤 健介,野村 佑希,清宮 幸太郎,上川畑 大悟,ヌニエス,石井 一成,石川 亮,●,1 - 7,オリックス,田中,●田中,京セラD大阪,18:00
7月20日(水),今川 優馬,中島 卓也,近藤 健介,野村 佑希,清宮 幸太郎,ヌニエス,木村 文紀,清水 優心,石井 一成,●,0 - 2,オリックス,根本,●根本,京セラD大阪,18:00
7月21日(木),石井 一成,木村 文紀,近藤 健介,今川 優馬,王 柏融,佐藤 龍世,万波 中正,郡 拓也,石川 亮,●,3 - 4,オリックス,ポンセ,●ポンセ,京セラD大阪,18:00
7月23日(土),清宮 幸太郎,渡邉 諒,近藤 健介,今川 優馬,髙濱 祐仁,佐藤 龍世,郡 拓也,清水 優心,上野 響平,●,6 - 7,ロッテ,河野,●古川侑,札幌ドーム,15:00
7月24日(日),清宮 幸太郎,木村 文紀,近藤 健介,今川 優馬,髙濱 祐仁,片岡 奨人,佐藤 龍世,石川 亮,細川 凌平,○,5 - 4,ロッテ,伊藤,○伊藤,札幌ドーム,14:00
7月29日(金),今川 優馬,佐藤 龍世,近藤 健介,万波 中正,清宮 幸太郎,渡邉 諒,清水 優心,郡 拓也,中島 卓也,○,2 - 1,楽天,ポンセ,○ポンセ,楽天生命パーク,18:00
7月30日(土),今川 優馬,佐藤 龍世,近藤 健介,万波 中正,清宮 幸太郎,渡邉 諒,古川 裕大,阪口 樂,中島 卓也,●,0 - 7,楽天,田中,●田中,楽天生命パーク,18:00
7月31日(日),万波 中正,清宮 幸太郎,近藤 健介,渡邉 諒,今川 優馬,古川 裕大,佐藤 龍世,中島 卓也,清水 優心,●,5 - 10,楽天,根本,●宮西,楽天生命パーク,17:00
