日付,1番,2番,3番,4番,5番,6番,7番,8番,9番,勝敗,スコア,対戦相手,先発投手,責任投手,球場,開始
5月11日(水),松本 剛,中島 卓也,清宮 幸太郎,野村 佑希,万波 中正,アルカンタラ,淺間 大基,ヌニエス,宇佐見 真吾,○,5 - 2,オリックス,金子千尋,○金子千尋,札幌ドーム,18:00
5月13日(金),松本 剛,石井 一成,清宮 幸太郎,野村 佑希,万波 中正,アルカンタラ,髙濱 祐仁,宇佐見 真吾,中島 卓也,○,1 - 0,ソフトバンク,伊藤,○伊藤,札幌ドーム,18:00
5月14日(土),松本 剛,今川 優馬,髙濱 祐仁,野村 佑希,万波 中正,石井 一成,杉谷 拳士,宇佐見 真吾,谷内 亮太,○,2 - 0,ソフトバンク,上沢,○上沢,札幌ドーム,14:00
5月15日(日),松本 剛,今川 優馬,清宮 幸太郎,野村 佑希,万波 中正,石井 一成,淺間 大基,梅林 優貴,水野 達稀,○,10 - 2,ソフトバンク,杉浦,○杉浦,札幌ドーム,14:00
5月17日(火),松本 剛,石井 一成,清宮 幸太郎,野村 佑希,万波 中正,アルカンタラ,淺間 大基,宇佐見 真吾,中島 卓也,●,0 - 3,オリックス,加藤,●加藤,ほっと神戸,18:00
5月18日(水),松本 剛,淺間 大基,清宮 幸太郎,野村 佑希,万波 中正,石井 一成,今川 優馬,梅林 優貴,アルカンタラ,○,11 - 4,オリックス,生田目,○吉田,ほっと神戸,18:00
5月20日(金),アルカンタラ,淺間 大基,万波 中正,野村 佑希,清宮 幸太郎,松本 剛,石井 一成,宇佐見 真吾,谷内 亮太,○,5 - 3,西武,伊藤,○伊藤,札幌ドーム,18:00
5月21日(土),松本 剛,今川 優馬,清宮 幸太郎,野村 佑希,万波 中正,杉谷 拳士,石井 一成,宇佐見 真吾,淺間 大基,○,4 - 0,西武,上沢,○上沢,札幌ドーム,14:00
5月22日(日),谷内 亮太,中島 卓也,松本 剛,野村 佑希,今川 優馬,アルカンタラ,淺間 大基,宇佐見 真吾,髙濱 祐仁,●,0 - 3,西武,金子千尋,●金子千尋,札幌ドーム,14:00
5月24日(火),松本 剛,上川畑 大悟,野村 佑希,清宮 幸太郎,万波 中正,宇佐見 真吾,石井 一成,加藤 貴之,淺間 大基,●,1 - 3,ヤクルト,加藤,●北山,神宮,18:00
5月25日(水),松本 剛,今川 優馬,清宮 幸太郎,野村 佑希,万波 中正,石井 一成,宇佐見 真吾,上原 健太,上川畑 大悟,●,6 - 7,ヤクルト,上原,●北山,神宮,18:00
5月26日(木),淺間 大基,石井 一成,松本 剛,野村 佑希,万波 中正,アルカンタラ,宇佐見 真吾,谷内 亮太,伊藤 大海,○,9 - 6,ヤクルト,伊藤,○石川直,神宮,18:00
5月27日(金),松本 剛,淺間 大基,清宮 幸太郎,野村 佑希,万波 中正,アルカンタラ,水野 達稀,宇佐見 真吾,中島 卓也,○,3 - 2,巨人,上沢,○上沢,札幌ドーム,18:00
5月28日(土),松本 剛,淺間 大基,清宮 幸太郎,野村 佑希,今川 優馬,アルカンタラ,石井 一成,梅林 優貴,上川畑 大悟,●,4 - 8,巨人,杉浦,●杉浦,札幌ドーム,14:00
5月29日(日),松本 剛,上川畑 大悟,清宮 幸太郎,野村 佑希,万波 中正,今川 優馬,アルカンタラ,宇佐見 真吾,杉谷 拳士,○,7 - 2,巨人,根本,○根本,札幌ドーム,14:00
5月31日(火),淺間 大基,水野 達稀,松本 剛,上川畑 大悟,万波 中正,石井 一成,谷内 亮太,加藤 貴之,石川 亮,●,0 - 1,広島,加藤,●宮西,マツダスタジアム,18:00
6月1日(水),上川畑 大悟,松本 剛,清宮 幸太郎,野村 佑希,万波 中正,アルカンタラ,宇佐見 真吾,淺間 大基,上原 健太,○,5 - 1,広島,上原,○上原,マツダスタジアム,18:00
6月2日(木),松本 剛,今川 優馬,清宮 幸太郎,野村 佑希,万波 中正,杉谷 拳士,宇佐見 真吾,中島 卓也,伊藤 大海,●,3 - 6,広島,伊藤,●伊藤,マツダスタジアム,18:00
6月3日(金),淺間 大基,万波 中正,野村 佑希,清宮 幸太郎,松本 剛,上川畑 大悟,アルカンタラ,宇佐見 真吾,上沢 直之,●,7 - 9,阪神,上沢,●堀,甲子園,18:00
6月4日(土),松本 剛,上川畑 大悟,清宮 幸太郎,野村 佑希,万波 中正,淺間 大基,宇佐見 真吾,石井 一成,杉浦 稔大,●,0 - 3,阪神,杉浦,●杉浦,甲子園,14:00
6月5日(日),万波 中正,今川 優馬,松本 剛,野村 佑希,清宮 幸太郎,アルカンタラ,上川畑 大悟,吉田 輝星,石川 亮,●,3 - 8,阪神,吉田,●吉田,甲子園,14:00
