順位,選手名,チーム,防御率,勝利,敗北,セlブ,ホlルド,投球回,被安打,被本塁打,与四死球,奪三振,自責点,WHIP,被安打率,被本打率,奪三振率,与四死率,DIPS,K/BB,HldR,PFR
254,海田　智行,オリックス,2.61,0,1,0,5,10.1,8,0,4,5,3,1.16,6.97,0.00,4.35,3.48,3.02,1.25,.750,0.87
254,金田　和之,オリックス,4.35,0,0,0,0,10.1,8,3,7,6,5,1.26,6.97,2.61,5.23,6.10,7.77,1.20,.833,1.06
254,谷川　昌希,日本ハム,5.23,1,0,0,0,10.1,9,1,4,8,6,1.26,7.84,0.87,6.97,3.48,3.99,2.00,.583,1.16
254,尾形　崇斗,ソフトバンク,0.87,0,0,0,0,10.1,3,1,2,9,1,0.48,2.61,0.87,7.84,1.74,3.22,4.50,1.000,1.06
254,張　奕,オリックス,13.06,0,1,0,3,10.1,21,4,2,15,15,2.23,18.29,3.48,13.06,1.74,5.83,7.50,.421,1.65
259,鈴木　優,オリックス,9.00,0,0,0,0,10.0,9,4,7,10,10,1.40,8.10,3.60,9.00,6.30,8.42,2.00,.500,1.50
259,秋吉　亮,日本ハム,2.70,0,0,0,0,10.0,7,0,4,8,3,1.10,6.30,0.00,7.20,3.60,2.42,2.00,.727,1.20
259,平良　拳太郎,DeNA,0.90,0,0,0,0,10.0,6,0,3,6,1,0.90,5.40,0.00,5.40,2.70,2.82,2.00,.889,0.90
262,横山　陸人,ロッテ,4.66,0,0,0,0,9.2,14,1,5,11,5,1.76,13.03,0.93,10.24,4.66,3.74,3.67,.778,1.45
262,村田　透,日本ハム,9.31,0,0,0,0,9.2,18,1,9,5,10,2.79,16.76,0.93,4.66,8.38,6.22,0.56,.654,1.45
262,本田　仁海,オリックス,7.45,0,1,0,0,9.2,13,2,5,4,8,1.86,12.10,1.86,3.72,4.66,6.53,0.80,.625,0.93
265,チェン・ウェイン,阪神,3.86,1,0,0,0,9.1,10,0,3,7,4,1.39,9.64,0.00,6.75,2.89,2.58,2.33,.692,1.07
266,ロサリオ,中日,3.00,0,0,0,0,9.0,8,1,8,3,3,1.56,8.00,1.00,3.00,8.00,6.56,0.50,.867,1.00
266,バルガス,オリックス,11.00,1,1,0,1,9.0,13,4,5,7,11,1.89,13.00,4.00,7.00,5.00,9.01,1.75,.500,1.22
268,佐々木　健,西武,8.31,0,0,0,0,8.2,13,1,9,4,8,2.42,13.50,1.04,4.15,9.35,6.81,0.50,.667,1.38
269,西　純矢,阪神,3.38,1,1,0,0,8.0,4,0,7,2,3,1.38,4.50,0.00,2.25,7.88,5.25,0.29,.727,1.13
269,岡野　祐一郎,中日,9.00,0,2,0,0,8.0,13,0,3,3,8,1.88,14.63,0.00,3.38,3.38,3.12,1.50,.500,0.63
269,横川　凱,巨人,3.38,0,1,0,0,8.0,9,2,2,9,3,1.38,10.13,2.25,10.13,2.25,4.87,4.50,.889,1.38
272,髙田　萌生,楽天,9.39,0,1,0,0,7.2,13,1,5,8,8,2.35,15.26,1.17,9.39,5.87,4.69,1.60,.588,1.70
273,公文　克彦,日本ハム,3.68,0,0,0,0,7.1,12,1,3,6,3,1.91,14.73,1.23,7.36,3.68,4.48,3.00,.857,1.09
274,エドワーズ,阪神,2.57,0,0,0,0,7.0,6,1,4,7,2,1.43,7.71,1.29,9.00,5.14,4.69,1.75,.889,1.57
274,桑原　謙太朗,阪神,9.00,0,0,0,0,7.0,8,2,5,7,7,1.71,10.29,2.57,9.00,6.43,6.98,1.75,.545,1.57
274,風張　蓮,DeNA,7.71,0,0,0,0,7.0,12,2,0,6,6,1.71,15.43,2.57,7.71,0.00,5.12,∞,.600,0.86
274,矢崎　拓也,広島,11.57,0,0,0,0,7.0,7,1,7,6,9,2.00,9.00,1.29,7.71,9.00,6.26,0.86,.385,1.86
274,内海　哲也,西武,7.71,1,0,0,0,7.0,11,2,5,3,6,2.29,14.14,2.57,3.86,6.43,8.12,0.60,.714,1.14
279,池谷　蒼大,DeNA,0.00,0,0,0,0,6.2,2,0,3,2,0,0.60,2.70,0.00,2.70,4.05,3.87,1.00,1.000,0.60
279,高田　孝一,楽天,1.35,0,0,0,0,6.2,6,1,2,6,1,1.05,8.10,1.35,8.10,2.70,4.17,6.00,1.000,1.05
279,遠藤　淳志,広島,6.75,0,0,0,0,6.2,9,2,7,11,5,2.25,12.15,2.70,14.85,9.45,6.87,1.83,.786,2.55
279,有吉　優樹,DeNA,2.70,0,1,0,0,6.2,8,1,0,3,2,1.20,10.80,1.35,4.05,0.00,4.17,∞,.857,0.45
283,杉山　晃基,ヤクルト,9.95,0,0,0,0,6.1,9,2,3,4,7,1.74,12.79,2.84,5.68,4.26,7.38,2.00,.500,0.95
284,浜地　真澄,阪神,4.50,0,0,0,0,6.0,8,0,2,6,3,1.67,12.00,0.00,9.00,3.00,1.62,3.00,.700,1.33
284,生田目　翼,日本ハム,1.50,1,0,0,0,6.0,1,0,4,5,1,0.67,1.50,0.00,7.50,6.00,3.45,1.67,.800,1.33
286,フランスア,広島,9.53,1,2,0,1,5.2,9,1,5,5,6,2.47,14.29,1.59,7.94,7.94,5.77,1.00,.615,1.76
286,加治屋　蓮,阪神,7.94,1,2,0,1,5.2,7,1,2,3,5,1.41,11.12,1.59,4.76,3.18,5.41,3.00,.500,0.71
286,藤井　黎來,広島,12.71,0,0,0,0,5.2,11,1,4,7,8,2.47,17.47,1.59,11.12,6.35,5.06,2.33,.500,1.76
289,三ツ間　卓也,中日,6.75,0,0,0,0,5.1,10,1,1,6,4,2.06,16.88,1.69,10.13,1.69,3.87,6.00,.700,1.31
289,佐藤　優,中日,13.50,0,0,0,0,5.1,13,1,2,4,8,2.81,21.94,1.69,6.75,3.38,5.18,2.00,.500,1.13
289,北浦　竜次,日本ハム,3.38,0,0,0,0,5.1,5,1,2,4,2,1.31,8.44,1.69,6.75,3.38,5.18,2.00,.833,1.13
289,村上　頌樹,阪神,16.88,0,1,0,0,5.1,9,3,5,0,10,2.63,15.19,5.06,0.00,8.44,13.25,0.00,.364,0.94
293,渡邊　佑樹,楽天,5.40,0,0,0,2,5.0,5,1,4,4,3,1.40,9.00,1.80,7.20,7.20,6.52,2.00,.750,1.20
293,井納　翔一,巨人,14.40,0,1,0,0,5.0,11,3,1,5,8,2.40,19.80,5.40,9.00,1.80,9.52,5.00,.444,1.20
293,平内　龍太,巨人,14.40,0,1,0,0,5.0,8,2,2,5,8,2.00,14.40,3.60,9.00,3.60,7.52,2.50,.250,1.40
293,塩見　貴洋,楽天,3.60,0,0,0,0,5.0,5,0,1,4,2,1.20,9.00,0.00,7.20,1.80,2.12,4.00,.667,1.00
297,田中　健二朗,DeNA,0.00,0,0,0,0,4.2,3,0,3,6,0,1.07,5.79,0.00,11.57,5.79,2.48,3.00,1.000,1.71
297,福田　俊,日本ハム,11.57,0,0,0,0,4.2,9,1,1,3,6,2.14,17.36,1.93,5.79,1.93,5.26,3.00,.444,0.86
297,バンデンハーク,ヤクルト,15.43,0,1,0,0,4.2,11,2,3,4,8,2.79,21.21,3.86,7.71,5.79,8.91,2.00,.500,1.29
297,薮田　和樹,広島,3.86,0,0,0,0,4.2,3,0,5,2,2,1.71,5.79,0.00,3.86,9.64,5.48,0.40,.750,1.50
301,吉川　光夫,西武,16.62,0,0,0,0,4.1,8,1,6,0,8,3.23,16.62,2.08,0.00,12.46,10.27,0.00,.462,1.38
301,鈴木　翔天,楽天,0.00,0,0,0,0,4.1,3,0,4,5,0,1.62,6.23,0.00,10.38,8.31,3.58,1.25,1.000,2.08
301,井上　広輝,西武,10.38,0,0,0,0,4.1,9,1,6,5,5,3.46,18.69,2.08,10.38,12.46,7.97,0.83,.714,2.54
304,渡邉　雄大,ソフトバンク,4.50,0,0,0,1,4.0,6,0,1,4,2,1.75,13.50,0.00,9.00,2.25,1.87,4.00,.714,1.25
304,松岡　洸希,西武,11.25,0,0,0,0,4.0,5,0,6,1,5,2.50,11.25,0.00,2.25,13.50,7.12,0.20,.545,1.50
304,中﨑　翔太,広島,13.50,0,0,0,0,4.0,9,0,2,1,6,2.75,20.25,0.00,2.25,4.50,4.12,0.50,.455,0.75
304,大曲　錬,西武,0.00,0,0,0,1,4.0,1,0,2,2,0,0.75,2.25,0.00,4.50,4.50,3.62,1.00,1.000,1.00
304,大竹　耕太郎,ソフトバンク,15.75,0,1,0,1,4.0,7,0,3,1,7,2.50,15.75,0.00,2.25,6.75,4.87,0.33,.300,1.00
304,望月　大希,日本ハム,2.25,0,0,0,0,4.0,2,0,3,1,1,1.25,4.50,0.00,2.25,6.75,4.87,0.33,.800,1.00
304,釜田　佳直,楽天,11.25,0,0,0,0,4.0,8,1,1,2,5,2.25,18.00,2.25,4.50,2.25,6.12,2.00,.500,0.75
304,清水　達也,中日,2.25,0,1,0,0,4.0,5,0,4,1,1,2.25,11.25,0.00,2.25,9.00,5.62,0.25,.889,1.25
312,長谷川　凌汰,日本ハム,7.36,0,0,0,2,3.2,2,0,3,1,3,1.36,4.91,0.00,2.45,7.36,5.03,0.33,.400,1.09
312,阿部　翔太,オリックス,7.36,0,0,0,0,3.2,4,1,1,3,3,1.36,9.82,2.45,7.36,2.45,5.85,3.00,.500,1.09
312,小林　樹斗,広島,9.82,0,0,0,0,3.2,6,0,2,6,4,2.18,14.73,0.00,14.73,4.91,1.48,3.00,.500,2.18
315,東條　大樹,ロッテ,5.40,0,0,0,1,3.1,7,0,5,0,2,3.60,18.90,0.00,0.00,13.50,7.62,0.00,.833,1.50
315,長谷川　宙輝,ヤクルト,10.80,1,0,0,0,3.1,4,2,3,3,4,2.10,10.80,5.40,8.10,8.10,11.82,1.00,.600,1.80
317,岩田　稔,阪神,0.00,0,0,0,0,3.0,3,0,1,3,0,1.00,9.00,0.00,9.00,3.00,2.12,∞,1.000,1.00
317,成田　翔,ロッテ,0.00,0,0,0,0,3.0,3,0,2,3,0,1.67,9.00,0.00,9.00,6.00,3.12,1.50,1.000,1.67
317,湯浅　京己,阪神,18.00,0,0,0,0,3.0,10,0,2,2,6,4.00,30.00,0.00,6.00,6.00,3.79,1.00,.500,1.33
317,戸田　懐生,巨人,0.00,0,0,0,0,3.0,3,0,1,0,0,1.33,9.00,0.00,0.00,3.00,4.12,0.00,1.000,0.33
317,守屋　功輝,阪神,12.00,0,0,0,0,3.0,5,1,2,3,4,2.00,15.00,3.00,9.00,6.00,7.45,3.00,.500,1.33
322,齋藤　綱記,オリックス,10.13,0,0,0,0,2.2,2,1,2,3,3,1.50,6.75,3.38,10.13,6.75,8.00,1.50,.333,1.88
322,菅原　秀,楽天,16.88,0,0,0,0,2.2,2,0,6,0,5,2.63,6.75,0.00,0.00,20.25,9.87,0.00,.375,1.88
322,ネバラスカス,広島,10.13,0,1,0,0,2.2,3,0,5,2,3,3.00,10.13,0.00,6.75,16.88,7.25,0.40,.625,2.63
325,大竹　寛,巨人,3.86,0,0,0,1,2.1,5,0,0,0,1,2.14,19.29,0.00,0.00,0.00,3.12,∞,.800,0.00
325,川原　弘之,ソフトバンク,7.71,0,0,0,0,2.1,3,0,4,2,2,2.57,11.57,0.00,7.71,15.43,6.55,0.67,.714,2.14
325,沼田　翔平,巨人,7.71,0,0,0,0,2.1,3,1,1,3,2,1.71,11.57,3.86,11.57,3.86,6.12,3.00,.667,1.71
325,榊原　翼,オリックス,15.43,0,0,0,0,2.1,4,0,5,2,4,3.86,15.43,0.00,7.71,19.29,7.83,0.40,.556,3.00
329,小川　龍也,西武,9.00,0,0,0,0,2.0,2,1,3,1,2,2.50,9.00,4.50,4.50,13.50,13.12,0.33,.750,2.00
329,近藤　廉,中日,4.50,0,0,0,0,2.0,1,0,3,2,1,2.00,4.50,0.00,9.00,13.50,5.62,0.67,.750,2.50
329,吉田　輝星,日本ハム,9.00,0,1,0,0,2.0,4,1,3,2,2,3.50,18.00,4.50,9.00,13.50,12.12,0.67,.833,2.50
329,寺島　成輝,ヤクルト,4.50,0,0,0,0,2.0,5,0,0,0,1,2.50,22.50,0.00,0.00,0.00,3.12,∞,.800,0.00
329,土肥　星也,ロッテ,13.50,0,1,0,0,2.0,6,1,0,0,3,3.00,27.00,4.50,0.00,0.00,9.62,∞,.600,0.00
329,古川　侑利,巨人,18.00,0,0,0,0,2.0,3,1,4,0,4,3.00,13.50,4.50,0.00,18.00,14.12,0.00,.500,1.50
335,山野　太一,ヤクルト,47.25,0,0,0,0,1.1,5,0,3,3,7,5.25,33.75,0.00,20.25,20.25,5.37,1.50,.125,3.75
336,進藤　拓也,DeNA,0.00,0,0,0,0,1.0,0,0,3,1,0,1.00,0.00,0.00,9.00,27.00,10.12,1.00,1.000,2.00
336,中川　颯,オリックス,0.00,0,0,0,0,1.0,2,0,0,0,0,2.00,18.00,0.00,0.00,0.00,3.12,∞,1.000,0.00
336,笠井　崇正,DeNA,54.00,0,0,0,0,1.0,5,1,3,1,6,7.00,45.00,9.00,9.00,27.00,23.12,0.50,.286,3.00
339,山井　大介,中日,0.00,0,0,0,0,0.1,0,0,0,1,0,0.00,0.00,0.00,27.00,0.00,-2.88,∞,∞,3.00
339,南　昌輝,ロッテ,0.00,0,0,0,1,0.1,0,0,0,1,0,0.00,0.00,0.00,27.00,0.00,-2.88,∞,∞,3.00
339,武藤　祐太,DeNA,0.00,0,0,0,0,0.1,0,0,0,1,0,0.00,0.00,0.00,27.00,0.00,-2.88,∞,∞,3.00
342,斎藤　佑樹,日本ハム,-,0,0,0,0,0.0,0,0,1,0,0,-,-,-,-,-,-,0.00,1.000,-
342,松坂　大輔,西武,-,0,0,0,0,0.0,0,0,1,0,0,-,-,-,-,-,-,0.00,1.000,-
