順位,選手名,チーム,防御率,勝利,敗北,セlブ,ホlルド,投球回,被安打,被本塁打,与四死球,奪三振,自責点,WHIP,被安打率,被本打率,奪三振率,与四死率,DIPS,K/BB,HldR,PFR
37,大貫　晋一,DeNA,4.34,6,7,0,0,112.0,137,9,33,106,54,1.49,11.01,0.72,8.52,2.65,3.10,3.53,.720,1.21
38,奥川　恭伸,ヤクルト,3.26,9,4,0,0,105.0,99,11,12,91,38,1.04,8.49,0.94,7.80,1.03,3.09,9.10,.730,0.96
39,瀧中　瞭太,楽天,3.21,10,5,0,0,103.2,97,10,31,75,37,1.20,8.42,0.87,6.51,2.69,3.82,2.78,.771,0.98
40,福谷　浩司,中日,4.53,5,10,0,0,103.1,112,10,18,73,52,1.25,9.75,0.87,6.36,1.57,3.46,4.29,.650,0.87
41,玉村　昇悟,広島,3.83,4,7,0,0,101.0,95,13,41,67,43,1.34,8.47,1.16,5.97,3.65,4.62,1.68,.756,1.06
42,田口　麗斗,ヤクルト,4.02,5,9,0,4,100.2,126,10,30,81,45,1.53,11.26,0.89,7.24,2.68,3.61,2.89,.760,1.08
43,畠　世周,巨人,3.07,4,3,1,11,96.2,83,13,29,97,33,1.12,7.73,1.21,9.03,2.70,3.73,3.88,.798,1.26
44,涌井　秀章,楽天,5.04,6,8,0,0,96.1,110,7,28,76,54,1.41,10.28,0.65,7.10,2.62,3.36,2.92,.641,1.06
45,バーヘイゲン,日本ハム,3.84,5,8,0,0,96.0,90,7,39,100,41,1.28,8.44,0.66,9.38,3.66,3.17,3.03,.721,1.39
46,和田　毅,ソフトバンク,4.48,5,6,0,0,94.1,95,14,30,83,47,1.29,9.06,1.34,7.92,2.86,4.21,3.07,.703,1.17
47,濵口　遥大,DeNA,3.94,5,7,0,0,91.1,73,8,55,84,40,1.37,7.19,0.79,8.28,5.42,4.19,1.62,.733,1.49
47,勝野　昌慶,中日,3.74,3,6,0,0,91.1,92,9,33,67,38,1.35,9.07,0.89,6.60,3.25,3.92,2.16,.750,1.07
49,河野　竜生,日本ハム,2.99,3,6,0,9,90.1,74,7,35,68,30,1.16,7.37,0.70,6.77,3.49,3.72,2.19,.775,1.10
50,床田　寛樹,広島,3.19,5,4,0,1,87.1,91,5,26,80,31,1.32,9.38,0.52,8.24,2.68,2.93,3.33,.768,1.19
51,メルセデス,巨人,3.77,7,5,0,0,86.0,96,5,27,74,36,1.37,10.05,0.52,7.74,2.83,3.06,3.36,.737,1.12
52,千賀　滉大,ソフトバンク,2.66,10,3,0,0,84.2,60,2,29,90,25,1.03,6.38,0.21,9.57,3.08,2.33,3.33,.736,1.38
53,池田　隆英,日本ハム,3.94,3,10,0,1,82.1,88,11,40,52,36,1.49,9.62,1.20,5.68,4.37,5.05,1.49,.786,1.06
54,石川　雅規,ヤクルト,3.07,4,5,0,0,82.0,81,10,19,54,28,1.18,8.89,1.10,5.93,2.09,4.05,3.38,.800,0.85
55,ロメロ,DeNA,3.01,5,3,0,0,80.2,89,4,35,44,27,1.48,9.93,0.45,4.91,3.90,3.98,1.47,.808,0.92
56,石川　歩,ロッテ,3.38,6,3,0,0,80.0,73,10,9,42,30,1.03,8.21,1.13,4.73,1.01,4.03,4.67,.722,0.64
57,鈴木　昭汰,ロッテ,4.08,1,4,0,1,79.1,78,10,30,76,36,1.34,8.85,1.13,8.62,3.40,3.98,2.71,.735,1.31
58,山口　俊,巨人,3.56,2,8,0,0,78.1,66,6,40,83,31,1.31,7.58,0.69,9.54,4.60,3.49,2.24,.750,1.53
58,高橋　奎二,ヤクルト,2.87,4,1,0,0,78.1,59,9,31,80,25,1.07,6.78,1.03,9.19,3.56,3.64,3.20,.802,1.34
60,武田　翔太,ソフトバンク,2.68,4,5,0,0,77.1,66,7,26,73,23,1.16,7.68,0.81,8.50,3.03,3.42,3.04,.812,1.25
61,スアレス,ヤクルト,3.62,5,3,1,3,77.0,82,9,37,70,31,1.48,9.58,1.05,8.18,4.32,4.26,2.19,.800,1.32
62,京山　将弥,DeNA,4.97,2,7,0,0,76.0,91,9,43,67,42,1.74,10.78,1.07,7.93,5.09,4.51,1.63,.736,1.42
62,松葉　貴大,中日,3.20,6,5,0,0,76.0,74,7,17,41,27,1.17,8.76,0.83,4.86,2.01,3.91,2.73,.762,0.74
64,東浜　巨,ソフトバンク,3.70,4,4,0,0,75.1,85,7,25,61,31,1.42,10.15,0.84,7.29,2.99,3.70,2.77,.767,1.10
65,平井　克典,西武,4.22,4,4,0,2,74.2,85,7,25,55,35,1.39,10.25,0.84,6.63,3.01,3.87,2.89,.728,0.99
66,松本　裕樹,ソフトバンク,3.79,3,3,0,4,73.2,64,9,30,59,31,1.25,7.82,1.10,7.21,3.67,4.29,2.11,.741,1.18
67,高橋　昂也,広島,5.28,5,7,0,0,73.1,85,9,26,54,43,1.49,10.43,1.10,6.63,3.19,4.31,2.25,.667,1.06
68,サンチェス,巨人,4.68,5,5,0,0,73.0,82,13,26,54,38,1.44,10.11,1.60,6.66,3.21,5.02,2.35,.737,1.05
69,増井　浩俊,オリックス,4.94,3,6,0,1,71.0,77,8,31,45,39,1.49,9.76,1.01,5.70,3.93,4.63,1.55,.690,1.04
70,坂本　裕哉,DeNA,5.25,4,6,0,0,70.1,89,9,25,46,41,1.58,11.39,1.15,5.89,3.20,4.54,2.09,.695,0.97
71,山岡　泰輔,オリックス,3.89,3,4,0,0,69.1,64,7,23,74,30,1.21,8.31,0.91,9.61,2.99,3.29,3.70,.713,1.36
72,サイスニード,ヤクルト,3.41,6,2,0,0,68.2,60,9,25,69,26,1.21,7.86,1.18,9.04,3.28,3.91,3.00,.776,1.34
73,清水　昇,ヤクルト,2.39,3,6,1,50,67.2,55,12,20,74,18,1.08,7.32,1.60,9.84,2.66,3.90,4.11,.905,1.36
74,益田　直也,ロッテ,2.24,3,6,38,0,64.1,43,5,15,68,16,0.90,6.02,0.70,9.51,2.10,2.67,4.53,.792,1.29
74,マクガフ,ヤクルト,2.52,3,2,31,14,64.1,43,7,26,76,18,1.03,6.02,0.98,10.63,3.64,3.29,3.30,.823,1.54
76,又吉　克樹,中日,1.28,3,2,8,33,63.1,47,2,23,41,9,1.09,6.68,0.28,5.83,3.27,3.23,1.86,.897,0.99
76,佐々木　朗希,ロッテ,2.27,3,2,0,0,63.1,51,5,16,68,16,1.06,7.25,0.71,9.66,2.27,2.71,4.25,.823,1.33
78,今村　信貴,巨人,2.71,3,4,0,0,63.0,66,5,25,59,19,1.40,9.43,0.71,8.43,3.57,3.47,2.68,.837,1.29
79,スアレス,阪神,1.16,1,1,42,0,62.1,40,0,8,58,8,0.77,5.78,0.00,8.37,1.16,1.55,7.25,.833,1.06
80,今野　龍太,ヤクルト,2.76,7,1,0,28,62.0,55,1,28,63,19,1.29,7.98,0.15,9.15,4.06,2.65,2.52,.780,1.42
80,高梨　裕稔,ヤクルト,3.63,4,1,0,0,62.0,62,11,18,56,25,1.24,9.00,1.60,8.13,2.61,4.44,3.73,.797,1.15
82,ロドリゲス,中日,3.65,1,4,0,0,61.2,56,8,43,61,25,1.52,8.17,1.17,8.90,6.28,4.82,1.61,.813,1.61
83,コルニエル,広島,3.82,1,2,0,10,61.1,56,8,31,79,26,1.37,8.22,1.17,11.59,4.55,3.76,2.82,.772,1.74
84,宋　家豪,楽天,2.23,3,3,7,24,60.2,46,2,25,49,15,1.14,6.82,0.30,7.27,3.71,3.07,2.13,.812,1.19
85,平良　海馬,西武,0.90,3,4,20,21,60.0,36,0,33,70,6,1.07,5.40,0.00,10.50,4.95,2.34,2.50,.913,1.63
85,ニール,西武,5.85,1,6,0,0,60.0,76,3,18,26,39,1.52,11.40,0.45,3.90,2.70,3.80,1.73,.604,0.68
87,アルカンタラ,阪神,3.49,3,3,0,6,59.1,55,6,14,48,23,1.16,8.34,0.91,7.28,2.12,3.47,3.43,.730,1.04
88,笠谷　俊介,ソフトバンク,4.27,3,4,0,0,59.0,52,12,37,64,28,1.47,7.93,1.83,9.76,5.64,5.48,1.83,.792,1.68
89,エスコバー,DeNA,3.38,4,4,1,32,58.2,39,7,15,50,22,0.85,5.98,1.07,7.67,2.30,3.73,4.55,.681,1.04
90,岩崎　優,阪神,2.65,3,4,1,41,57.2,47,6,15,51,17,1.08,7.34,0.94,7.96,2.34,3.38,3.40,.804,1.14
90,西口　直人,楽天,3.28,5,2,0,3,57.2,46,7,25,55,21,1.20,7.18,1.09,8.58,3.90,3.99,2.39,.781,1.35
92,ギャレット,西武,3.77,4,3,2,17,57.1,57,6,33,59,24,1.57,8.95,0.94,9.26,5.18,4.15,1.79,.786,1.60
92,三嶋　一輝,DeNA,4.08,3,5,23,1,57.1,66,8,12,57,26,1.36,10.36,1.26,8.95,1.88,3.52,4.75,.743,1.20
94,佐々木　千隼,ロッテ,1.26,8,1,1,26,57.0,36,4,16,28,8,0.88,5.68,0.63,4.42,2.53,3.84,2.00,.917,0.74
95,安樂　智大,楽天,2.08,3,3,2,22,56.1,45,4,35,50,13,1.38,7.19,0.64,7.99,5.59,4.13,1.52,.882,1.47
96,ビエイラ,巨人,2.93,0,3,19,1,55.1,38,3,27,64,18,1.16,6.18,0.49,10.41,4.39,2.98,2.46,.758,1.63
97,山﨑　康晃,DeNA,3.27,3,2,1,27,55.0,58,2,17,39,20,1.31,9.49,0.33,6.38,2.78,3.05,2.79,.753,0.96
97,石山　泰稚,ヤクルト,3.60,0,5,10,9,55.0,54,6,10,64,22,1.16,8.84,0.98,10.47,1.64,2.76,6.40,.724,1.35
97,渡邉　勇太朗,西武,3.44,4,4,0,2,55.0,43,3,33,33,21,1.33,7.04,0.49,5.40,5.40,4.43,1.10,.753,1.15
97,立野　和明,日本ハム,2.45,4,3,0,0,55.0,39,3,26,47,15,1.13,6.38,0.49,7.69,4.25,3.54,2.04,.806,1.27
101,中川　皓太,巨人,2.47,4,3,1,25,54.2,47,2,15,49,15,1.04,7.74,0.33,8.07,2.47,2.57,4.90,.783,1.08
101,杉浦　稔大,日本ハム,2.96,3,3,28,1,54.2,34,9,25,69,18,1.06,5.60,1.48,11.36,4.12,3.94,2.88,.820,1.70
103,堀　瑞輝,日本ハム,2.36,3,2,0,39,53.1,36,3,34,56,14,1.24,6.08,0.51,9.45,5.74,3.61,1.87,.836,1.61
104,大道　温貴,広島,4.75,4,4,0,3,53.0,50,4,27,35,28,1.42,8.49,0.68,5.94,4.58,4.31,1.40,.671,1.13
105,栗林　良吏,広島,0.86,0,1,37,0,52.1,23,1,29,81,5,0.97,3.96,0.17,13.93,4.99,1.82,2.89,.922,2.08
106,小野　郁,ロッテ,3.48,0,3,0,8,51.2,37,4,28,56,20,1.22,6.45,0.70,9.75,4.88,3.53,2.15,.738,1.59
107,酒居　知史,楽天,2.28,4,3,3,28,51.1,33,3,24,44,13,1.11,5.79,0.53,7.71,4.21,3.51,1.83,.815,1.32
108,藤嶋　健人,中日,1.59,1,0,0,5,51.0,35,3,13,38,9,0.94,6.18,0.53,6.71,2.29,3.16,2.92,.867,1.00
109,島内　颯太郎,広島,3.12,0,2,0,15,49.0,44,4,14,51,17,1.18,8.08,0.73,9.37,2.57,2.96,3.64,.759,1.33
109,髙橋　遥人,阪神,1.65,4,2,0,0,49.0,30,1,5,55,9,0.71,5.51,0.18,10.10,0.92,1.45,11.00,.765,1.22
111,祖父江　大輔,中日,2.59,1,2,5,19,48.2,59,1,10,30,14,1.40,10.91,0.18,5.55,1.85,2.77,3.33,.809,0.80
111,竹安　大知,オリックス,4.44,3,2,0,0,48.2,48,4,20,26,24,1.38,8.88,0.74,4.81,3.70,4.35,1.37,.688,0.92
113,森浦　大輔,広島,3.17,3,3,0,17,48.1,39,3,25,41,17,1.24,7.26,0.56,7.63,4.66,3.72,1.95,.770,1.28
113,藤浪　晋太郎,阪神,5.21,3,3,0,4,48.1,47,4,44,52,28,1.80,8.75,0.74,9.68,8.19,4.78,1.30,.724,1.90
115,Ｒ．マルティネス,中日,2.06,1,4,23,0,48.0,26,1,11,59,11,0.75,4.88,0.19,11.06,2.06,1.56,5.90,.722,1.44
116,馬場　皐輔,阪神,3.80,3,0,0,10,47.1,43,5,17,39,20,1.27,8.18,0.95,7.42,3.23,3.86,2.29,.727,1.18
117,ピープルズ,DeNA,4.21,3,4,0,0,47.0,41,5,16,41,22,1.17,7.85,0.96,7.85,3.06,3.78,2.93,.673,1.17
117,原　樹理,ヤクルト,2.30,3,1,0,0,47.0,45,0,16,25,12,1.21,8.62,0.00,4.79,3.06,2.95,2.08,.803,0.79
119,富山　凌雅,オリックス,2.72,2,1,0,20,46.1,37,2,17,34,14,1.17,7.19,0.39,6.60,3.30,3.31,2.00,.769,1.10
119,ヒギンス,オリックス,2.53,1,2,2,28,46.1,37,3,20,36,13,1.21,7.19,0.58,6.99,3.88,3.70,1.89,.815,1.19
121,Ｂ．ロドリゲス,日本ハム,2.74,0,2,3,24,46.0,40,4,23,34,14,1.30,7.83,0.78,6.65,4.50,4.14,1.70,.831,1.17
122,福　敬登,中日,3.18,2,2,0,20,45.1,37,4,18,38,16,1.15,7.35,0.79,7.54,3.57,3.65,2.53,.765,1.17
122,岩嵜　翔,ソフトバンク,4.17,2,5,6,14,45.1,37,7,11,56,21,1.06,7.35,1.39,11.12,2.18,3.25,5.09,.659,1.48
124,宮西　尚生,日本ハム,3.65,1,2,0,15,44.1,42,3,19,49,18,1.29,8.53,0.61,9.95,3.86,3.01,3.27,.741,1.44
125,山田　修義,オリックス,2.27,1,0,0,9,43.2,38,2,20,35,11,1.31,7.83,0.41,7.21,4.12,3.35,1.84,.839,1.24
126,ハーマン,ロッテ,5.19,1,1,0,24,43.1,47,7,14,38,25,1.38,9.76,1.45,7.89,2.91,4.37,2.92,.667,1.18
127,平野　佳寿,オリックス,2.30,1,3,29,3,43.0,30,4,9,37,11,0.91,6.28,0.84,7.74,1.88,3.24,4.11,.800,1.07
127,松井　裕樹,楽天,0.63,0,2,24,0,43.0,22,1,22,59,3,1.00,4.60,0.21,12.35,4.60,2.14,2.81,.953,1.86
129,玉井　大翔,日本ハム,3.16,0,0,0,8,42.2,41,2,23,23,15,1.41,8.65,0.42,4.85,4.85,4.13,1.21,.790,0.98
129,金久保　優斗,ヤクルト,2.74,4,1,0,0,42.2,39,3,18,34,13,1.29,8.23,0.63,7.17,3.80,3.71,2.13,.815,1.17
131,鍵谷　陽平,巨人,3.19,3,0,1,15,42.1,39,5,18,30,15,1.35,8.29,1.06,6.38,3.83,4.51,1.67,.808,1.13
131,塹江　敦哉,広島,4.25,5,4,0,17,42.1,48,4,26,29,20,1.72,10.20,0.85,6.17,5.53,4.68,1.16,.771,1.28
133,砂田　毅樹,DeNA,3.24,2,2,0,18,41.2,26,1,15,27,15,0.94,5.62,0.22,5.83,3.24,3.07,2.08,.650,0.96
133,平田　真吾,DeNA,4.10,2,0,1,3,41.2,41,6,23,34,19,1.49,8.86,1.30,7.34,4.97,4.94,1.62,.776,1.32
133,河村　説人,ロッテ,3.46,4,1,0,0,41.2,39,4,17,28,16,1.34,8.42,0.86,6.05,3.67,4.03,1.65,.769,1.08
136,デラロサ,巨人,2.83,1,0,7,13,41.1,38,3,14,34,13,1.21,8.27,0.65,7.40,3.05,3.43,2.83,.796,1.11
137,櫻井　周斗,DeNA,3.07,0,1,0,1,41.0,36,3,29,37,14,1.59,7.90,0.66,8.12,6.37,4.32,1.28,.823,1.61
138,森脇　亮介,西武,4.02,3,1,1,13,40.1,42,3,24,29,18,1.59,9.37,0.67,6.47,5.36,4.36,1.32,.762,1.26
139,十亀　剣,西武,3.38,1,1,0,8,40.0,41,1,21,26,15,1.50,9.23,0.23,5.85,4.73,3.72,1.37,.770,1.13
139,レイ,ソフトバンク,2.03,3,1,0,0,40.0,22,3,16,38,9,0.88,4.95,0.68,8.55,3.60,3.40,2.92,.829,1.28
141,板東　湧梧,ソフトバンク,2.52,0,2,1,16,39.1,28,4,19,41,11,1.14,6.41,0.92,9.38,4.35,3.73,2.41,.837,1.47
141,ケムナ　誠,広島,4.58,2,2,0,12,39.1,45,4,17,28,20,1.53,10.30,0.92,6.41,3.89,4.24,1.87,.724,1.09
143,高梨　雄平,巨人,3.69,2,2,1,20,39.0,34,2,26,47,16,1.41,7.85,0.46,10.85,6.00,3.07,2.24,.759,1.74
143,及川　雅貴,阪神,3.69,2,3,0,10,39.0,31,4,26,38,16,1.41,7.15,0.92,8.77,6.00,4.20,1.58,.774,1.59
143,山﨑　颯一郎,オリックス,3.69,2,2,0,0,39.0,32,1,25,29,16,1.33,7.38,0.23,6.69,5.77,3.89,1.45,.732,1.26
146,岩貞　祐太,阪神,4.66,4,0,0,12,38.2,42,4,17,33,20,1.45,9.78,0.93,7.68,3.96,3.92,2.36,.709,1.22
146,井口　和朋,日本ハム,1.86,1,2,0,11,38.2,24,4,12,33,8,0.88,5.59,0.93,7.68,2.79,3.69,3.30,.875,1.11
146,Ｋ－鈴木,オリックス,3.03,1,0,2,2,38.2,34,2,15,28,13,1.24,7.91,0.47,6.52,3.49,3.35,2.00,.766,1.09
146,大下　佑馬,ヤクルト,3.72,1,0,0,1,38.2,34,5,10,32,16,1.09,7.91,1.16,7.45,2.33,3.77,4.00,.718,1.03
146,與座　海人,西武,2.79,1,1,0,1,38.2,31,3,14,28,12,1.06,7.22,0.70,6.52,3.26,3.77,2.80,.786,0.98
151,大西　広樹,ヤクルト,2.82,3,0,0,7,38.1,36,4,14,24,12,1.25,8.45,0.94,5.63,3.29,4.24,2.00,.826,0.94
152,田中　豊樹,巨人,2.84,0,0,0,2,38.0,22,5,21,37,12,1.11,5.21,1.18,8.76,4.97,4.38,1.85,.816,1.50
152,中村　稔弥,ロッテ,3.08,0,2,0,0,38.0,40,3,19,27,13,1.53,9.47,0.71,6.39,4.50,4.15,1.50,.821,1.18
152,アーリン,日本ハム,3.32,2,3,0,0,38.0,40,3,13,33,14,1.34,9.47,0.71,7.82,3.08,3.44,3.00,.780,1.16
155,石田　健大,DeNA,5.73,1,2,0,2,37.2,44,4,20,39,24,1.65,10.51,0.96,9.32,4.78,3.94,2.17,.667,1.51
155,本前　郁也,ロッテ,4.78,1,2,0,0,37.2,41,7,17,17,20,1.49,9.80,1.67,4.06,4.06,5.99,1.13,.745,0.85
157,戸根　千明,巨人,4.82,2,0,1,0,37.1,25,4,27,36,20,1.31,6.03,0.96,8.68,6.51,4.75,1.50,.667,1.61
158,浜屋　将太,西武,6.63,1,6,0,0,36.2,39,8,30,26,27,1.77,9.57,1.96,6.38,7.36,6.99,1.00,.689,1.42
159,唐川　侑己,ロッテ,2.72,4,2,0,22,36.1,29,4,14,26,11,1.16,7.18,0.99,6.44,3.47,4.28,2.00,.821,1.07
160,漆原　大晟,オリックス,3.03,2,2,2,4,35.2,30,4,15,23,12,1.23,7.57,1.01,5.80,3.79,4.47,1.64,.805,1.04
160,野村　祐輔,広島,6.31,0,4,0,0,35.2,48,6,19,29,25,1.82,12.11,1.51,7.32,4.79,5.11,1.71,.689,1.29
162,伊勢　大夢,DeNA,2.80,0,1,0,6,35.1,30,0,16,38,11,1.27,7.64,0.00,9.68,4.08,2.16,2.53,.761,1.50
163,三上　朋也,DeNA,3.86,2,1,0,3,35.0,36,5,10,25,15,1.29,9.26,1.29,6.43,2.57,4.32,2.78,.756,0.97
163,阪口　皓亮,DeNA,4.11,2,3,0,0,35.0,37,4,20,18,16,1.60,9.51,1.03,4.63,5.14,5.29,0.95,.774,1.06
165,東妻　勇輔,ロッテ,2.88,1,0,0,4,34.1,38,4,11,29,11,1.37,9.96,1.05,7.60,2.88,3.91,3.22,.844,1.11
166,高橋　礼,ソフトバンク,5.82,1,1,0,0,34.0,31,3,38,14,22,1.85,8.21,0.79,3.71,10.06,6.80,0.44,.712,1.35
166,上茶谷　大河,DeNA,7.15,1,3,0,0,34.0,37,5,18,26,27,1.59,9.79,1.32,6.88,4.76,5.00,1.53,.560,1.26
168,田中　靖洋,ロッテ,4.54,1,2,0,10,33.2,42,3,15,20,17,1.63,11.23,0.80,5.35,4.01,3.98,1.54,.741,0.98
169,坂本　光士郎,ヤクルト,4.05,1,2,0,7,33.1,29,4,20,25,15,1.38,7.83,1.08,6.75,5.40,4.89,1.47,.756,1.26
169,桜井　俊貴,巨人,5.40,1,0,0,6,33.1,35,7,17,20,20,1.53,9.45,1.89,5.40,4.59,6.09,1.25,.711,1.08
169,ダーモディ,西武,5.13,0,2,0,0,33.1,46,2,13,22,19,1.77,12.42,0.54,5.94,3.51,3.75,1.69,.702,1.05
169,金子　弌大,日本ハム,6.21,0,4,0,0,33.1,42,4,16,22,23,1.65,11.34,1.08,5.94,4.32,4.71,1.69,.648,1.05
173,大江　竜聖,巨人,4.09,0,0,0,13,33.0,29,2,19,23,15,1.39,7.91,0.55,6.27,5.18,4.15,1.35,.717,1.21
173,津森　宥紀,ソフトバンク,2.18,1,0,0,11,33.0,24,2,10,43,8,0.97,6.55,0.55,11.73,2.73,2.12,5.38,.813,1.55
175,森原　康平,楽天,2.78,0,0,0,3,32.1,29,3,8,30,10,1.14,8.07,0.84,8.35,2.23,3.03,3.75,.794,1.18
176,菊池　保則,広島,1.71,2,1,0,3,31.2,31,3,16,25,6,1.39,8.81,0.85,7.11,4.55,4.10,1.92,.932,1.20
177,モイネロ,ソフトバンク,1.15,1,0,5,14,31.1,15,2,20,42,4,1.09,4.31,0.57,12.06,5.74,2.99,2.21,.939,1.95
177,シャッケルフォード,DeNA,5.17,1,0,1,4,31.1,28,3,21,34,18,1.40,8.04,0.86,9.77,6.03,4.21,2.13,.674,1.60
179,西村　天裕,日本ハム,3.48,0,0,0,1,31.0,33,2,15,32,12,1.45,9.58,0.58,9.29,4.35,3.15,2.67,.783,1.42
179,田村　伊知郎,西武,2.90,1,0,1,0,31.0,17,2,20,20,10,1.06,4.94,0.58,5.81,5.81,4.41,1.25,.771,1.16
181,武隈　祥太,西武,1.76,0,2,0,9,30.2,17,2,14,25,6,1.01,4.99,0.59,7.34,4.11,3.61,1.79,.862,1.27
181,増田　達至,西武,4.99,0,3,8,9,30.2,32,4,8,23,17,1.27,9.39,1.17,6.75,2.35,4.00,3.29,.639,0.98
183,国吉　佑樹,DeNA,5.16,1,1,0,0,29.2,24,1,14,37,17,1.25,7.28,0.30,11.22,4.25,2.38,2.85,.568,1.69
184,ブセニッツ,楽天,4.97,1,0,0,4,29.0,32,1,9,23,16,1.41,9.93,0.31,7.14,2.79,2.91,2.56,.625,1.10
184,森　唯斗,ソフトバンク,4.03,1,3,15,0,29.0,20,6,10,26,13,1.03,6.21,1.86,8.07,3.10,5.05,2.60,.708,1.24
186,嘉弥真　新也,ソフトバンク,4.71,1,0,0,19,28.2,22,2,14,27,15,1.22,6.91,0.63,8.48,4.40,3.50,2.08,.618,1.40
187,水上　由伸,西武,2.33,0,1,0,4,27.0,19,1,17,22,7,1.30,6.33,0.33,7.33,5.67,3.86,1.38,.829,1.41
188,橋本　侑樹,中日,3.71,0,0,0,1,26.2,26,0,9,28,11,1.28,8.78,0.00,9.45,3.04,1.92,3.50,.686,1.35
189,泉　圭輔,ソフトバンク,2.73,1,2,0,6,26.1,20,4,16,30,8,1.25,6.84,1.37,10.25,5.47,4.64,2.31,.875,1.63
189,高橋　樹也,広島,1.37,0,0,0,0,26.1,20,3,11,16,4,1.14,6.84,1.03,5.47,3.76,4.64,1.60,.964,0.99
189,中川　虎大,DeNA,6.49,0,1,0,0,26.1,32,3,15,24,19,1.78,10.94,1.03,8.20,5.13,4.49,1.60,.636,1.48
192,本田　圭佑,西武,4.21,0,3,0,0,25.2,23,3,14,9,12,1.44,8.06,1.05,3.16,4.91,5.57,0.64,.735,0.90
193,梅野　雄吾,ヤクルト,2.49,0,0,0,8,25.1,22,4,11,29,7,1.22,7.82,1.42,10.30,3.91,4.19,3.22,.897,1.50
193,杉山　一樹,ソフトバンク,3.20,2,2,0,1,25.1,13,1,33,29,9,1.74,4.62,0.36,10.30,11.72,5.25,0.94,.822,2.37
195,国吉　佑樹,ロッテ,1.44,2,0,2,17,25.0,18,0,17,19,4,1.40,6.48,0.00,6.84,6.12,3.40,1.12,.886,1.44
196,宮川　哲,西武,6.57,1,2,0,6,24.2,23,4,21,30,18,1.66,8.39,1.46,10.95,7.66,5.35,1.67,.650,1.95
197,星　知弥,ヤクルト,4.81,0,0,1,7,24.1,23,2,11,28,13,1.40,8.51,0.74,10.36,4.07,3.24,2.55,.656,1.60
198,スチュワート・ジュニア,ソフトバンク,6.08,0,2,0,1,23.2,21,0,22,36,16,1.77,7.99,0.00,13.69,8.37,2.87,1.71,.628,2.41
199,齋藤　友貴哉,阪神,4.63,1,1,0,1,23.1,23,1,12,26,12,1.50,8.87,0.39,10.03,4.63,2.99,2.17,.676,1.63
199,吉田　大喜,ヤクルト,6.17,1,1,0,0,23.1,31,5,12,26,16,1.84,11.96,1.93,10.03,4.63,5.09,2.17,.711,1.63
199,ロメロ,ロッテ,1.54,1,0,0,0,23.1,19,2,9,20,4,1.20,7.33,0.77,7.71,3.47,3.68,2.22,.923,1.24
202,大関　友久,ソフトバンク,2.35,0,0,0,0,23.0,12,1,12,13,6,0.96,4.70,0.39,5.09,4.70,4.12,1.30,.783,1.00
203,福山　博之,楽天,2.38,0,2,0,4,22.2,23,3,12,13,6,1.54,9.13,1.19,5.16,4.76,5.28,1.08,.906,1.10
204,谷元　圭介,中日,2.01,1,1,0,14,22.1,23,3,2,18,5,1.07,9.27,1.21,7.25,0.81,3.52,18.00,.909,0.85
204,能見　篤史,オリックス,4.03,0,0,2,5,22.1,26,2,14,19,10,1.66,10.48,0.81,7.66,5.64,4.19,1.73,.789,1.34
206,バード,広島,4.57,0,0,0,11,21.2,21,0,15,21,11,1.57,8.72,0.00,8.72,6.23,3.26,1.62,.694,1.57
207,田浦　文丸,ソフトバンク,3.38,1,0,0,1,21.1,22,1,7,17,8,1.36,9.28,0.42,7.17,2.95,2.98,2.43,.750,1.13
207,小川　一平,阪神,2.95,1,0,0,2,21.1,15,2,7,19,7,1.03,6.33,0.84,8.02,2.95,3.54,2.71,.750,1.22
207,上間　永遠,西武,6.33,1,1,0,0,21.1,26,3,9,10,15,1.64,10.97,1.27,4.22,3.80,5.28,1.11,.625,0.89
210,甲斐野　央,ソフトバンク,4.35,0,2,1,4,20.2,16,3,12,25,10,1.26,6.97,1.31,10.89,5.23,4.33,2.50,.720,1.69
211,比嘉　幹貴,オリックス,1.77,1,0,0,11,20.1,14,2,4,15,4,0.89,6.20,0.89,6.64,1.77,2.92,3.75,.875,0.93
211,福井　優也,楽天,4.43,0,0,0,0,20.1,17,3,6,21,10,1.13,7.52,1.33,9.30,2.66,3.86,3.50,.650,1.33
