順位,選手名,チーム,防御率,勝利,敗北,セlブ,ホlルド,投球回,被安打,被本塁打,与四死球,奪三振,自責点,WHIP,被安打率,被本打率,奪三振率,与四死率,DIPS,K/BB,HldR,PFR
1,山本　由伸,オリックス,1.68,15,5,0,0,193.0,137,6,47,205,36,0.93,6.39,0.28,9.56,2.19,2.13,4.88,.831,1.28
2,森下　暢仁,広島,3.17,10,8,0,0,178.2,195,13,52,133,63,1.34,9.82,0.65,6.70,2.62,3.45,3.02,.786,0.99
3,髙橋　光成,西武,2.20,12,8,0,0,175.2,153,9,62,128,43,1.16,7.84,0.46,6.56,3.18,3.35,2.51,.835,1.02
4,戸郷　翔征,巨人,2.62,12,8,0,0,171.2,146,11,59,154,50,1.15,7.65,0.58,8.07,3.09,3.17,3.02,.799,1.19
5,田中　将大,楽天,3.31,9,12,0,0,163.0,160,16,34,126,60,1.17,8.83,0.88,6.96,1.88,3.46,4.20,.753,0.96
6,青柳　晃洋,阪神,2.05,13,4,0,0,162.1,126,7,40,132,37,0.97,6.99,0.39,7.32,2.22,2.72,4.13,.811,1.01
7,大野　雄大,中日,2.46,8,8,0,0,157.0,126,7,43,108,43,1.04,7.22,0.40,6.19,2.46,3.13,2.92,.778,0.92
8,伊藤　大海,日本ハム,2.95,10,9,1,1,155.2,140,5,54,112,51,1.21,8.09,0.29,6.48,3.12,3.14,2.29,.757,1.03
9,柳　裕也,中日,3.64,9,11,0,0,153.1,154,17,42,124,62,1.25,9.04,1.00,7.28,2.47,3.75,3.35,.749,1.05
9,小川　泰弘,ヤクルト,2.82,8,8,0,0,153.1,145,16,35,91,48,1.15,8.51,0.94,5.34,2.05,3.95,2.84,.805,0.80
11,上沢　直之,日本ハム,3.38,8,9,0,0,152.0,129,15,59,127,57,1.18,7.64,0.89,7.52,3.49,3.90,2.54,.757,1.16
12,宮城　大弥,オリックス,3.16,11,8,0,0,148.1,137,11,36,127,52,1.13,8.31,0.67,7.71,2.18,3.08,4.23,.747,1.06
12,西　勇輝,阪神,2.18,9,9,0,0,148.1,132,8,31,93,36,1.07,8.01,0.49,5.64,1.88,3.13,3.58,.819,0.80
14,加藤　貴之,日本ハム,2.01,8,7,0,1,147.2,124,9,12,98,33,0.91,7.56,0.55,5.97,0.73,2.83,8.91,.811,0.74
15,菅野　智之,巨人,3.12,10,7,0,0,147.0,138,15,32,104,51,1.12,8.45,0.92,6.37,1.96,3.66,4.00,.768,0.88
16,小笠原　慎之介,中日,2.76,10,8,0,0,146.2,127,9,40,142,45,1.13,7.79,0.55,8.71,2.45,2.78,3.64,.772,1.23
17,千賀　滉大,ソフトバンク,1.94,11,6,0,0,144.0,103,7,52,156,31,1.06,6.44,0.44,9.75,3.25,2.67,3.18,.838,1.42
18,今永　昇太,DeNA,2.26,11,4,0,0,143.2,106,14,32,132,36,0.94,6.64,0.88,8.27,2.00,3.20,4.55,.823,1.12
19,小島　和哉,ロッテ,3.14,3,11,0,0,143.1,140,10,47,89,50,1.28,8.79,0.63,5.59,2.95,3.75,2.07,.774,0.92
20,岸　孝之,楽天,3.19,8,10,0,0,141.0,116,18,29,118,50,1.02,7.40,1.15,7.53,1.85,3.72,4.21,.748,1.04
21,九里　亜蓮,広島,3.33,6,9,0,0,140.1,147,13,61,121,52,1.43,9.43,0.83,7.76,3.91,3.84,2.28,.800,1.24
22,大貫　晋一,DeNA,2.77,11,8,0,0,136.2,126,13,44,118,42,1.19,8.30,0.86,7.77,2.90,3.55,3.28,.815,1.13
22,伊藤　将司,阪神,2.63,9,5,0,0,136.2,119,10,24,92,40,1.03,7.84,0.66,6.06,1.58,3.19,4.18,.774,0.83
24,石川　柊太,ソフトバンク,3.37,7,10,0,0,136.1,122,9,65,106,51,1.31,8.05,0.59,7.00,4.29,3.83,1.86,.764,1.20
25,東浜　巨,ソフトバンク,3.11,10,6,0,0,136.0,114,14,38,94,47,1.11,7.54,0.93,6.22,2.51,3.91,2.54,.761,0.96
26,大瀬良　大地,広島,4.72,8,9,0,0,135.1,156,18,29,97,71,1.35,10.37,1.20,6.45,1.93,4.01,3.59,.683,0.92
27,サイスニード,ヤクルト,3.54,9,6,0,0,132.1,140,17,31,96,52,1.25,9.52,1.16,6.53,2.11,4.04,3.69,.773,0.92
28,松本　航,西武,3.19,7,6,0,0,129.2,106,8,47,104,46,1.16,7.36,0.56,7.22,3.26,3.38,2.36,.738,1.14
29,佐々木　朗希,ロッテ,2.02,9,4,0,0,129.1,80,7,30,173,29,0.80,5.57,0.49,12.04,2.09,1.80,7.52,.786,1.52
30,山岡　泰輔,オリックス,2.60,6,8,0,1,128.0,118,6,34,99,37,1.13,8.30,0.42,6.96,2.39,2.98,3.67,.788,0.98
31,則本　昂大,楽天,3.53,10,8,0,0,125.0,127,9,42,104,49,1.32,9.14,0.65,7.49,3.02,3.40,2.74,.750,1.14
