順位,選手名,チーム,打率,打数,安打,本塁打,打点,出塁率,長打率,OPS,NOI,GPA,IsoP,IsoD,RC,RC27,XR,XR27,BABIP,SecA,TA
29,サンタナ,ヤクルト,.290,372,108,19,62,.366,.511,.877,.536,.292,.220,.076,66.16,6.45,64.29,6.27,.355,.339,.859
30,ウィーラー,巨人,.289,384,111,15,56,.358,.479,.837,.518,.281,.190,.069,61.54,5.71,59.25,5.50,.329,.284,.786
31,西川　龍馬,広島,.286,504,144,12,60,.335,.399,.733,.467,.250,.113,.049,64.82,4.55,64.25,4.51,.307,.187,.637
31,糸原　健斗,阪神,.286,441,126,2,30,.347,.351,.698,.464,.244,.066,.061,54.29,4.40,53.32,4.32,.325,.161,.605
31,銀次,楽天,.286,91,26,0,3,.381,.297,.678,.480,.246,.011,.095,11.47,4.62,11.21,4.52,.325,.165,.612
31,宮本　丈,ヤクルト,.286,70,20,1,8,.395,.386,.781,.524,.274,.100,.110,12.40,5.67,12.66,5.79,.284,.257,.784
31,熊代　聖人,西武,.286,7,2,0,0,.375,.286,.661,.470,.240,.000,.089,0.76,2.92,0.78,3.01,.286,.000,.500
36,中村　剛也,西武,.284,430,122,18,74,.343,.440,.783,.490,.264,.156,.059,62.74,5.23,62.86,5.24,.344,.247,.719
37,中村　奨吾,ロッテ,.283,506,143,9,67,.382,.415,.797,.520,.276,.132,.099,86.02,5.79,85.24,5.74,.312,.292,.796
37,中村　奨成,広島,.283,53,15,2,5,.377,.453,.830,.528,.283,.170,.094,9.68,6.70,9.44,6.54,.361,.358,.872
39,梶谷　隆幸,巨人,.282,227,64,4,23,.333,.388,.721,.463,.247,.106,.051,29.03,4.51,28.68,4.45,.326,.185,.630
40,岡島　豪郎,楽天,.280,461,129,8,56,.331,.414,.745,.469,.252,.134,.051,60.93,4.62,59.61,4.52,.329,.189,.648
41,中村　悠平,ヤクルト,.279,377,105,2,36,.360,.358,.718,.479,.251,.080,.081,49.83,4.44,49.03,4.37,.315,.194,.639
42,村上　宗隆,ヤクルト,.278,500,139,39,112,.408,.566,.974,.597,.325,.288,.130,113.78,8.02,112.68,7.94,.302,.510,1.053
42,塩見　泰隆,ヤクルト,.278,474,132,14,59,.357,.441,.798,.504,.271,.162,.079,79.26,6.11,77.05,5.94,.386,.297,.813
42,牧原　大成,ソフトバンク,.278,273,76,4,21,.305,.363,.668,.426,.228,.084,.027,31.65,4.05,31.05,3.97,.306,.165,.606
42,若林　楽人,西武,.278,144,40,2,10,.340,.389,.729,.469,.250,.111,.062,19.81,4.53,19.63,4.49,.365,.264,.713
46,鈴木　大地,楽天,.277,552,153,10,53,.343,.377,.720,.469,.249,.100,.066,73.12,4.58,72.93,4.57,.281,.196,.646
46,菊池　涼介,広島,.277,494,137,16,60,.333,.429,.762,.476,.257,.152,.056,68.84,4.96,68.11,4.90,.305,.229,.678
48,栗原　陵矢,ソフトバンク,.275,531,146,21,77,.339,.465,.804,.494,.269,.190,.064,84.81,5.64,84.64,5.63,.291,.299,.775
48,ビシエド,中日,.275,480,132,17,70,.333,.433,.766,.477,.258,.158,.058,65.99,4.84,64.72,4.75,.280,.229,.685
48,福田　周平,オリックス,.275,408,112,1,21,.354,.321,.675,.461,.239,.047,.079,51.88,4.45,51.06,4.38,.302,.172,.627
51,松原　聖弥,巨人,.274,431,118,12,37,.333,.422,.756,.474,.256,.148,.060,62.14,5.08,61.68,5.05,.326,.255,.710
52,中野　拓夢,阪神,.273,466,127,1,36,.321,.328,.649,.430,.226,.056,.048,56.17,4.09,55.01,4.00,.309,.178,.622
52,渡邊　佳明,楽天,.273,99,27,1,7,.351,.323,.675,.459,.239,.051,.079,11.09,3.84,10.98,3.80,.321,.152,.566
52,上本　崇司,広島,.273,55,15,0,2,.382,.309,.691,.485,.249,.036,.110,7.90,4.85,8.46,5.19,.319,.127,.667
52,山足　達也,オリックス,.273,33,9,0,1,.351,.273,.624,.442,.226,.000,.079,3.76,3.90,3.74,3.88,.300,.121,.542
56,山田　哲人,ヤクルト,.272,493,134,34,101,.370,.515,.885,.542,.295,.243,.098,94.21,6.71,96.00,6.84,.273,.400,.903
56,宗　佑磨,オリックス,.272,481,131,9,42,.335,.393,.728,.466,.249,.121,.062,61.96,4.35,60.94,4.27,.286,.198,.648
56,源田　壮亮,西武,.272,464,126,2,29,.319,.347,.666,.434,.230,.075,.047,54.23,3.95,53.23,3.87,.300,.175,.594
56,吉川　尚輝,巨人,.272,305,83,5,25,.313,.370,.683,.436,.233,.098,.041,36.83,4.30,36.16,4.23,.304,.177,.615
56,野間　峻祥,広島,.272,250,68,2,12,.323,.340,.663,.437,.231,.068,.051,29.35,4.24,28.58,4.13,.300,.168,.602
56,スモーク,巨人,.272,114,31,7,14,.336,.482,.818,.497,.272,.211,.064,17.98,5.71,17.88,5.68,.343,.298,.776
62,坂本　勇人,巨人,.271,424,115,19,46,.359,.467,.826,.514,.278,.196,.088,72.20,6.09,70.99,5.99,.301,.330,.810
62,中島　宏之,巨人,.271,181,49,6,26,.314,.425,.740,.456,.248,.155,.044,21.58,4.07,21.25,4.01,.303,.204,.631
64,木下　拓哉,中日,.270,352,95,11,43,.336,.412,.748,.473,.254,.142,.066,47.19,4.65,46.52,4.58,.292,.241,.673
64,大盛　穂,広島,.270,37,10,0,3,.308,.351,.659,.425,.226,.081,.037,3.91,3.30,3.78,3.19,.500,.216,.633
66,浅村　栄斗,楽天,.269,483,130,18,67,.395,.422,.817,.536,.283,.153,.126,82.08,5.77,83.02,5.84,.298,.364,.822
67,溝脇　隼人,中日,.268,41,11,0,2,.318,.317,.635,.424,.222,.049,.050,4.68,3.83,4.49,3.67,.324,.146,.567
68,野村　佑希,日本ハム,.267,371,99,7,37,.303,.361,.664,.423,.227,.094,.036,38.75,3.70,38.73,3.70,.332,.135,.546
69,林　晃汰,広島,.266,357,95,10,40,.301,.392,.693,.431,.233,.126,.034,39.05,3.86,38.45,3.80,.333,.168,.577
70,岡本　和真,巨人,.265,521,138,39,113,.341,.530,.871,.518,.286,.265,.076,91.00,6.04,92.98,6.17,.260,.374,.850
70,丸　佳浩,巨人,.265,392,104,23,55,.365,.495,.860,.530,.288,.230,.100,71.74,6.50,71.61,6.49,.323,.395,.875
72,デスパイネ,ソフトバンク,.264,261,69,10,41,.373,.437,.810,.519,.277,.172,.109,41.00,5.37,40.58,5.32,.314,.337,.776
73,松山　竜平,広島,.263,175,46,2,29,.325,.354,.679,.443,.235,.091,.062,20.34,4.07,20.33,4.07,.288,.189,.594
73,田中　貴也,楽天,.263,38,10,2,3,.317,.474,.791,.475,.261,.211,.054,5.91,5.32,5.83,5.25,.276,.289,.750
73,和田　康士朗,ロッテ,.263,19,5,0,1,.417,.316,.732,.522,.266,.053,.154,5.76,8.19,5.82,8.27,.455,1.316,1.579
73,鶴岡　慎也,日本ハム,.263,19,5,0,0,.300,.316,.616,.405,.214,.053,.037,1.48,2.67,1.41,2.54,.313,.105,.467
77,レアード,ロッテ,.262,485,127,29,95,.330,.478,.809,.490,.268,.216,.068,74.06,5.25,76.01,5.39,.277,.318,.759
77,髙濱　祐仁,日本ハム,.262,367,96,8,43,.305,.390,.695,.435,.235,.128,.044,42.27,3.88,41.54,3.81,.303,.196,.601
79,松本　剛,日本ハム,.261,92,24,0,2,.333,.283,.616,.428,.221,.022,.072,8.53,3.11,8.50,3.10,.296,.098,.486
79,小幡　竜平,阪神,.261,23,6,0,0,.320,.391,.711,.450,.242,.130,.059,3.18,4.77,3.07,4.61,.375,.304,.722
81,大山　悠輔,阪神,.260,466,121,21,71,.313,.453,.765,.463,.254,.193,.053,63.37,4.65,64.87,4.76,.275,.275,.695
81,長谷川　勇也,ソフトバンク,.260,100,26,3,19,.367,.430,.797,.510,.273,.170,.107,16.73,5.79,16.64,5.76,.284,.340,.803
83,高橋　周平,中日,.259,475,123,5,39,.315,.347,.663,.431,.229,.088,.056,47.99,3.44,47.30,3.39,.299,.175,.555
83,茂木　栄五郎,楽天,.259,410,106,14,53,.343,.427,.770,.486,.261,.168,.085,60.70,5.17,60.64,5.16,.316,.288,.730
83,安達　了一,オリックス,.259,321,83,0,18,.351,.302,.653,.451,.233,.044,.092,36.70,3.75,36.24,3.71,.306,.190,.578
86,マルテ,阪神,.258,446,115,22,71,.367,.451,.818,.517,.278,.193,.109,73.35,5.67,73.38,5.68,.263,.359,.804
86,青木　宣親,ヤクルト,.258,446,115,9,56,.335,.383,.719,.463,.247,.126,.077,58.24,4.58,57.17,4.50,.268,.222,.657
86,オスナ,ヤクルト,.258,469,121,13,60,.293,.401,.694,.427,.232,.143,.035,50.34,3.69,49.72,3.65,.286,.196,.587
89,島内　宏明,楽天,.257,486,125,21,96,.385,.477,.863,.544,.293,.220,.128,91.38,6.39,91.22,6.38,.269,.420,.892
89,京田　陽太,中日,.257,409,105,3,24,.302,.315,.618,.407,.215,.059,.046,38.90,3.23,39.64,3.29,.298,.112,.503
91,會澤　翼,広島,.256,180,46,3,22,.325,.361,.686,.445,.237,.106,.070,20.21,3.74,20.51,3.79,.291,.194,.599
91,山﨑　剛,楽天,.256,168,43,4,24,.326,.399,.725,.459,.246,.143,.070,21.59,4.16,21.53,4.15,.298,.244,.659
93,藤岡　裕大,ロッテ,.255,432,110,3,37,.320,.338,.658,.433,.228,.083,.065,48.97,3.77,47.76,3.67,.303,.192,.587
93,元山　飛優,ヤクルト,.255,208,53,3,17,.322,.332,.653,.432,.228,.077,.067,21.63,3.46,21.76,3.48,.296,.163,.558
93,羽月　隆太郎,広島,.255,102,26,1,11,.309,.353,.662,.427,.227,.098,.054,12.67,4.07,12.39,3.98,.305,.225,.636
96,楠本　泰史,DeNA,.254,114,29,2,18,.323,.368,.691,.446,.237,.114,.068,12.90,3.83,12.98,3.85,.300,.175,.567
96,真砂　勇介,ソフトバンク,.254,114,29,1,8,.295,.333,.628,.406,.216,.079,.041,10.69,3.17,10.93,3.24,.373,.114,.489
96,桂　依央利,中日,.254,71,18,1,7,.274,.408,.682,.410,.225,.155,.020,7.26,3.44,6.96,3.30,.354,.169,.564
96,岡林　勇希,中日,.254,59,15,0,4,.262,.322,.584,.370,.199,.068,.008,5.03,2.89,5.06,2.91,.313,.119,.489
100,大和,DeNA,.252,270,68,2,26,.300,.322,.622,.407,.216,.070,.048,24.41,3.05,23.88,2.99,.288,.137,.498
100,安部　友裕,広島,.252,151,38,1,12,.320,.305,.624,.421,.220,.053,.068,15.49,3.51,15.83,3.59,.349,.159,.543
102,淺間　大基,日本ハム,.251,411,103,5,31,.308,.338,.646,.421,.223,.088,.058,44.01,3.62,44.51,3.66,.325,.173,.565
102,栗山　巧,西武,.251,387,97,4,43,.334,.320,.654,.441,.230,.070,.083,43.59,3.82,45.29,3.97,.280,.199,.588
104,髙松　渡,中日,.250,112,28,0,4,.274,.259,.532,.360,.188,.009,.024,7.53,2.03,8.17,2.21,.333,.089,.419
104,北村　拓己,巨人,.250,92,23,4,11,.317,.413,.730,.455,.246,.163,.067,11.26,4.06,11.24,4.05,.306,.261,.658
104,和田　恋,楽天,.250,8,2,0,0,.333,.250,.583,.417,.213,.000,.083,0.75,3.37,0.77,3.47,.500,.125,.500
104,髙城　俊人,DeNA,.250,4,1,0,0,.500,.250,.750,.583,.288,.000,.250,0.94,6.37,0.95,6.41,.200,.250,1.000
104,並木　秀尊,ヤクルト,.250,4,1,0,2,.400,.500,.900,.567,.305,.250,.150,1.68,11.36,1.54,10.40,.250,1.250,2.333
104,海野　隆司,ソフトバンク,.250,4,1,0,2,.200,.500,.700,.367,.215,.250,-.050,0.56,3.75,0.81,5.47,.250,.250,.667
104,武岡　龍世,ヤクルト,.250,4,1,0,0,.250,.250,.500,.333,.175,.000,.000,0.23,2.05,0.23,2.07,.250,.000,.333
111,三森　大貴,ソフトバンク,.249,329,82,0,20,.272,.313,.585,.376,.201,.064,.023,28.07,2.92,28.14,2.92,.319,.131,.490
112,サンズ,阪神,.248,408,101,20,65,.328,.451,.779,.478,.260,.203,.080,59.23,4.97,59.57,5.00,.268,.324,.734
112,小深田　大翔,楽天,.248,391,97,3,21,.328,.312,.640,.432,.226,.064,.080,43.90,3.74,44.08,3.75,.276,.176,.563
114,山崎　晃大朗,ヤクルト,.247,215,53,1,12,.311,.335,.646,.422,.224,.088,.064,24.88,3.86,24.26,3.76,.304,.205,.598
114,ブランドン,西武,.247,81,20,3,8,.253,.444,.697,.401,.225,.198,.006,8.26,3.38,8.34,3.41,.288,.198,.578
116,中村　晃,ソフトバンク,.245,462,113,8,56,.344,.348,.692,.460,.242,.104,.099,60.59,4.36,61.73,4.44,.255,.255,.654
117,角中　勝也,ロッテ,.244,275,67,0,29,.343,.320,.663,.449,.234,.076,.099,34.07,4.20,34.41,4.24,.290,.225,.627
117,福田　永将,中日,.244,279,68,8,28,.305,.419,.724,.445,.242,.176,.061,34.50,4.23,34.03,4.18,.269,.251,.644
117,Ａ．マルティネス,中日,.244,82,20,2,7,.340,.317,.657,.446,.232,.073,.097,9.13,3.85,9.27,3.91,.360,.183,.578
120,島田　海吏,阪神,.243,70,17,0,9,.293,.286,.579,.389,.203,.043,.050,7.39,3.50,7.23,3.42,.283,.214,.593
121,安田　尚憲,ロッテ,.242,351,85,8,55,.323,.362,.685,.444,.236,.120,.081,43.03,4.22,44.07,4.33,.291,.242,.631
121,渡邉　諒,日本ハム,.242,281,68,3,29,.327,.320,.647,.434,.227,.078,.085,29.28,3.39,29.83,3.46,.305,.199,.580
121,王　柏融,日本ハム,.242,252,61,9,48,.322,.429,.750,.464,.252,.187,.079,35.26,4.86,34.88,4.80,.299,.290,.713
121,岡　大海,ロッテ,.242,161,39,6,18,.322,.391,.714,.453,.243,.149,.080,21.19,4.27,21.14,4.26,.284,.298,.713
125,Ｔ－岡田,オリックス,.241,357,86,17,63,.322,.434,.756,.467,.253,.193,.081,51.89,4.99,53.41,5.13,.266,.289,.721
126,若林　晃弘,巨人,.239,213,51,5,16,.314,.362,.675,.434,.232,.122,.074,24.95,3.94,25.54,4.03,.275,.216,.596
126,石原　貴規,広島,.239,113,27,4,12,.293,.354,.647,.411,.220,.115,.054,9.99,2.81,10.56,2.97,.261,.204,.538
126,川島　慶三,ソフトバンク,.239,109,26,2,11,.306,.367,.673,.428,.229,.128,.067,13.09,4.11,13.12,4.12,.304,.229,.614
129,呉　念庭,西武,.238,425,101,10,48,.310,.348,.658,.426,.227,.111,.072,48.53,3.90,49.53,3.98,.259,.214,.593
129,佐藤　輝明,阪神,.238,425,101,24,64,.284,.466,.749,.439,.244,.228,.046,57.09,4.67,57.62,4.71,.335,.296,.701
131,田村　龍弘,ロッテ,.235,136,32,0,14,.316,.301,.618,.417,.218,.066,.081,14.88,3.43,15.19,3.51,.278,.199,.562
131,髙谷　裕亮,ソフトバンク,.235,17,4,0,0,.235,.235,.471,.314,.165,.000,.000,0.80,1.65,0.82,1.70,.250,.000,.308
133,ソト,DeNA,.234,410,96,21,62,.302,.437,.738,.447,.245,.202,.067,51.27,4.22,51.90,4.27,.274,.285,.667
133,松田　宣浩,ソフトバンク,.234,354,83,14,47,.289,.407,.696,.425,.232,.172,.055,41.26,3.87,42.78,4.01,.246,.263,.633
133,柴田　竜拓,DeNA,.234,222,52,2,15,.313,.329,.642,.423,.223,.095,.079,25.51,3.64,25.82,3.69,.253,.212,.581
133,ジョーンズ,オリックス,.234,154,36,4,23,.339,.338,.677,.451,.237,.104,.105,17.39,3.73,17.93,3.84,.276,.247,.616
137,西川　遥輝,日本ハム,.233,447,104,3,35,.362,.318,.680,.468,.242,.085,.129,61.68,4.58,62.86,4.66,.287,.313,.695
137,マーティン,ロッテ,.233,416,97,27,75,.355,.500,.855,.521,.285,.267,.122,75.35,6.13,75.82,6.17,.269,.442,.884
139,山川　穂高,西武,.232,358,83,24,66,.321,.469,.791,.478,.262,.237,.089,55.03,5.16,57.99,5.44,.247,.358,.773
139,スパンジェンバーグ,西武,.232,181,42,7,27,.340,.420,.760,.480,.258,.188,.108,25.45,4.64,26.02,4.75,.315,.337,.721
139,頓宮　裕真,オリックス,.232,112,26,5,14,.298,.402,.700,.432,.235,.170,.066,14.12,4.33,14.66,4.50,.309,.241,.651
142,大城　卓三,巨人,.231,347,80,11,37,.300,.360,.660,.420,.225,.130,.070,35.76,3.42,36.27,3.47,.265,.225,.576
142,クロン,広島,.231,130,30,6,16,.270,.431,.701,.414,.229,.200,.039,14.61,3.87,14.66,3.88,.312,.246,.618
144,モヤ,オリックス,.229,354,81,13,47,.261,.373,.634,.386,.211,.144,.033,31.49,2.95,33.34,3.13,.258,.195,.528
144,柳町　達,ソフトバンク,.229,48,11,1,2,.302,.354,.656,.420,.224,.125,.073,5.10,3.53,5.04,3.49,.278,.229,.579
146,紅林　弘太郎,オリックス,.228,448,102,10,48,.251,.353,.603,.368,.201,.125,.023,35.90,2.63,37.16,2.73,.265,.154,.486
147,甲斐　拓也,ソフトバンク,.227,405,92,12,44,.305,.353,.658,.422,.225,.126,.077,43.85,3.34,45.26,3.45,.287,.235,.580
147,木浪　聖也,阪神,.227,119,27,1,15,.269,.319,.589,.376,.201,.092,.042,10.57,2.91,11.30,3.11,.252,.151,.495
149,関根　大気,DeNA,.226,124,28,1,4,.284,.298,.582,.383,.202,.073,.058,10.72,2.81,10.62,2.78,.267,.161,.500
150,梅野　隆太郎,阪神,.225,404,91,3,33,.303,.300,.603,.403,.211,.074,.078,34.98,2.79,35.54,2.83,.291,.186,.517
150,辰己　涼介,楽天,.225,374,84,10,32,.326,.345,.671,.441,.233,.120,.102,43.50,3.73,44.67,3.83,.267,.257,.614
150,石井　一成,日本ハム,.225,284,64,4,19,.280,.335,.615,.392,.210,.109,.055,26.92,3.00,27.35,3.05,.288,.197,.529
150,川越　誠司,西武,.225,160,36,5,11,.283,.350,.633,.400,.215,.125,.058,15.84,3.37,16.29,3.46,.277,.206,.556
150,五十幡　亮汰,日本ハム,.225,80,18,1,5,.244,.325,.569,.352,.191,.100,.019,7.50,3.11,7.47,3.10,.274,.225,.571
150,カスティーヨ,楽天,.225,71,16,1,3,.276,.282,.558,.370,.195,.056,.051,4.85,2.30,4.99,2.36,.283,.099,.421
150,吉田　大成,ヤクルト,.225,40,9,1,2,.392,.325,.717,.500,.258,.100,.167,6.10,4.84,6.24,4.96,.267,.400,.758
157,古賀　優大,ヤクルト,.224,116,26,0,7,.256,.241,.498,.337,.176,.017,.032,6.58,1.87,6.61,1.88,.250,.052,.363
158,西浦　直亨,ヤクルト,.223,242,54,5,24,.298,.322,.620,.405,.215,.099,.075,22.29,2.95,23.36,3.09,.266,.198,.533
158,オコエ　瑠偉,楽天,.223,94,21,0,6,.291,.234,.525,.369,.190,.011,.068,7.35,2.45,7.49,2.50,.263,.128,.459
160,三ツ俣　大樹,中日,.222,117,26,1,11,.272,.308,.580,.375,.199,.085,.050,10.52,2.73,10.41,2.70,.245,.145,.484
160,太田　賢吾,ヤクルト,.222,72,16,0,5,.269,.292,.561,.366,.194,.069,.047,4.59,1.97,4.82,2.07,.286,.153,.443
162,岸　潤一郎,西武,.220,304,67,9,30,.263,.345,.609,.378,.205,.125,.043,25.20,2.58,26.19,2.68,.221,.171,.500
162,外崎　修汰,西武,.220,254,56,5,19,.316,.335,.651,.428,.226,.114,.096,29.94,3.80,31.11,3.94,.250,.268,.618
162,戸柱　恭孝,DeNA,.220,127,28,3,14,.250,.346,.596,.365,.199,.126,.030,9.96,2.59,10.08,2.62,.231,.157,.480
162,加藤　翔平,ロッテ,.220,41,9,1,2,.238,.390,.628,.368,.205,.171,.019,3.54,2.73,3.58,2.76,.235,.171,.485
166,愛斗,西武,.219,292,64,8,39,.265,.377,.642,.391,.214,.158,.046,27.89,3.14,28.39,3.19,.245,.199,.545
166,堂上　直倫,中日,.219,219,48,5,25,.248,.333,.581,.359,.195,.114,.029,14.04,2.01,14.87,2.12,.242,.160,.454
166,炭谷　銀仁朗,楽天,.219,105,23,3,8,.272,.333,.605,.383,.206,.114,.053,8.87,2.47,9.47,2.64,.225,.171,.488
166,佐藤　龍世,日本ハム,.219,105,23,0,6,.284,.238,.523,.364,.188,.019,.065,7.36,2.34,7.90,2.51,.319,.124,.434
166,井領　雅貴,中日,.219,64,14,1,2,.265,.344,.608,.379,.205,.125,.046,5.11,2.65,5.11,2.65,.295,.188,.500
171,伏見　寅威,オリックス,.218,238,52,4,25,.268,.324,.592,.376,.202,.105,.050,19.43,2.64,20.22,2.74,.238,.160,.484
171,福留　孝介,中日,.218,193,42,4,18,.301,.342,.643,.415,.221,.124,.083,19.32,3.34,19.24,3.33,.286,.244,.571
171,重信　慎之介,巨人,.218,78,17,2,6,.282,.321,.603,.389,.207,.103,.064,7.71,3.25,7.98,3.37,.294,.244,.571
174,藤原　恭大,ロッテ,.217,217,47,5,22,.301,.350,.651,.418,.223,.134,.085,24.95,3.66,26.35,3.87,.253,.263,.623
174,ロハス・ジュニア,阪神,.217,189,41,8,21,.282,.381,.663,.409,.222,.164,.065,18.93,3.32,19.67,3.45,.268,.233,.565
176,長野　久義,広島,.216,125,27,2,13,.300,.288,.588,.396,.207,.072,.084,11.16,3.01,11.52,3.11,.269,.192,.520
176,メヒア,広島,.216,37,8,0,0,.275,.216,.491,.347,.178,.000,.059,2.18,2.03,2.32,2.16,.308,.054,.379
178,亀井　善行,巨人,.215,186,40,3,17,.270,.339,.608,.383,.206,.124,.055,16.63,2.90,17.43,3.04,.262,.194,.520
178,柘植　世那,西武,.215,65,14,1,8,.243,.292,.535,.340,.182,.077,.027,3.25,1.49,4.00,1.83,.265,.123,.400
180,今宮　健太,ソフトバンク,.214,365,78,4,30,.259,.299,.558,.359,.191,.085,.045,27.97,2.38,28.78,2.44,.234,.153,.461
180,若月　健矢,オリックス,.214,117,25,5,16,.290,.376,.666,.415,.225,.162,.076,13.50,3.51,14.17,3.68,.211,.265,.617
180,西村　凌,オリックス,.214,42,9,0,2,.267,.262,.529,.354,.185,.048,.052,2.58,2.04,2.57,2.04,.250,.119,.412
183,伊藤　光,DeNA,.213,160,34,2,13,.294,.288,.582,.390,.204,.075,.082,14.00,2.64,14.58,2.75,.250,.181,.500
184,中川　圭太,オリックス,.212,156,33,1,7,.259,.263,.522,.347,.182,.051,.047,9.29,1.93,9.61,2.00,.237,.109,.409
184,樋口　龍之介,日本ハム,.212,52,11,0,3,.241,.269,.510,.330,.176,.058,.029,1.94,1.19,1.89,1.16,.333,.058,.364
186,来田　涼斗,オリックス,.211,71,15,2,8,.250,.338,.588,.363,.197,.127,.039,5.07,2.28,5.48,2.47,.325,.155,.458
186,乙坂　智,DeNA,.211,19,4,0,0,.250,.263,.513,.338,.178,.053,.039,1.16,2.09,1.16,2.09,.308,.105,.400
188,渡辺　勝,中日,.210,119,25,2,11,.266,.277,.543,.358,.189,.067,.056,8.17,2.12,8.67,2.25,.235,.143,.429
189,阿部　寿樹,中日,.209,215,45,5,16,.271,.326,.597,.380,.203,.116,.062,16.84,2.46,17.89,2.61,.222,.200,.492
189,加藤　翔平,中日,.209,110,23,1,2,.281,.255,.536,.366,.190,.045,.072,9.02,2.51,9.30,2.59,.227,.209,.511
191,糸井　嘉男,阪神,.208,106,22,3,18,.269,.340,.609,.382,.206,.132,.061,9.06,2.69,10.27,3.05,.275,.226,.534
191,倉本　寿彦,DeNA,.208,72,15,0,6,.230,.208,.438,.299,.155,.000,.021,1.94,0.89,2.17,0.99,.273,.028,.288
191,内川　聖一,ヤクルト,.208,53,11,0,2,.250,.226,.476,.325,.169,.019,.042,1.65,0.99,1.66,1.00,.268,.057,.333
