順位,選手名,チーム,打率,打数,安打,本塁打,打点,出塁率,長打率,OPS,NOI,GPA,IsoP,IsoD,RC,RC27,XR,XR27,BABIP,SecA,TA
1,釜元　豪,ソフトバンク,.500,10,5,1,3,.500,.900,1.400,.800,.450,.400,.000,3.53,15.89,3.25,14.63,.444,.500,1.667
1,九鬼　隆平,ソフトバンク,.500,2,1,0,1,.500,.500,1.000,.667,.350,.000,.000,0.46,12.30,0.41,11.07,.500,.000,1.000
1,雄平,ヤクルト,.500,2,1,0,0,.500,.500,1.000,.667,.350,.000,.000,0.46,12.30,0.41,11.07,.500,.000,1.000
4,郡司　裕也,中日,.462,13,6,0,3,.533,.538,1.072,.713,.375,.077,.072,3.59,13.84,3.25,12.54,.600,.231,1.286
5,ラベロ,オリックス,.429,7,3,0,0,.429,.429,.857,.571,.300,.000,.000,0.85,4.61,0.76,4.10,.500,.000,.600
6,土田　龍空,中日,.400,5,2,0,2,.571,.600,1.171,.771,.407,.200,.171,1.78,15.98,1.61,14.49,.667,.600,1.667
7,湯浅　大,巨人,.385,13,5,0,0,.385,.462,.846,.538,.288,.077,.000,2.02,6.07,1.85,5.55,.417,.077,.667
8,川端　慎吾,ヤクルト,.372,86,32,1,18,.419,.488,.908,.582,.311,.116,.047,16.51,7.96,15.14,7.30,.449,.198,.875
9,松本　友,ヤクルト,.353,34,12,0,2,.463,.471,.934,.620,.326,.118,.110,8.03,9.86,7.31,8.97,.462,.353,1.091
10,吉田　正尚,オリックス,.339,389,132,21,72,.429,.563,.992,.616,.334,.224,.089,90.21,9.05,86.44,8.68,.322,.373,1.060
11,植田　海,阪神,.333,6,2,0,0,.429,.333,.762,.540,.276,.000,.095,2.53,13.68,2.44,13.18,.500,1.667,2.400
12,鈴木　誠也,広島,.317,435,138,38,88,.433,.639,1.072,.646,.355,.322,.116,116.28,10.03,113.24,9.77,.318,.533,1.221
13,坂倉　将吾,広島,.315,422,133,12,68,.390,.467,.857,.546,.292,.152,.075,76.52,6.71,74.62,6.54,.339,.275,.841
14,牧　秀悟,DeNA,.314,487,153,22,71,.356,.534,.890,.534,.294,.220,.042,85.39,6.51,81.79,6.24,.342,.277,.838
15,近本　光司,阪神,.313,569,178,10,50,.354,.441,.795,.501,.269,.128,.041,90.29,5.95,86.05,5.67,.331,.216,.755
16,桑原　将志,DeNA,.310,519,161,14,43,.369,.474,.843,.527,.284,.164,.058,87.01,6.17,82.37,5.84,.339,.258,.793
17,森　友哉,西武,.309,431,133,11,41,.420,.469,.889,.576,.306,.160,.111,89.63,7.86,86.18,7.55,.340,.350,.954
18,グラシアル,ソフトバンク,.304,138,42,5,15,.360,.457,.817,.512,.276,.152,.056,21.89,5.91,21.12,5.70,.349,.246,.770
19,佐野　恵太,DeNA,.303,545,165,17,72,.376,.466,.842,.531,.286,.163,.073,93.37,6.32,90.59,6.13,.322,.273,.808
19,オースティン,DeNA,.303,373,113,28,74,.405,.601,1.006,.606,.333,.298,.103,86.31,8.63,83.71,8.37,.362,.461,1.078
21,宮﨑　敏郎,DeNA,.301,519,156,16,73,.353,.455,.808,.505,.273,.154,.053,80.47,5.67,78.32,5.52,.308,.233,.743
21,杉本　裕太郎,オリックス,.301,478,144,32,83,.378,.552,.931,.562,.308,.251,.077,93.50,7.11,92.09,7.00,.336,.358,.923
23,柳田　悠岐,ソフトバンク,.300,516,155,28,80,.388,.541,.929,.568,.310,.240,.087,107.88,7.89,103.73,7.59,.345,.386,.981
24,近藤　健介,日本ハム,.298,447,133,11,69,.413,.472,.885,.570,.304,.174,.115,90.35,7.35,87.77,7.14,.341,.378,.939
24,小園　海斗,広島,.298,449,134,5,35,.320,.399,.718,.453,.244,.100,.021,55.74,4.40,54.25,4.28,.320,.129,.598
26,荻野　貴司,ロッテ,.296,570,169,10,45,.367,.425,.791,.508,.271,.128,.070,92.49,5.88,89.57,5.69,.319,.244,.767
27,大島　洋平,中日,.292,548,160,1,34,.345,.350,.695,.461,.243,.058,.053,69.42,4.65,66.89,4.48,.324,.150,.613
28,宇草　孔基,広島,.291,148,43,4,14,.331,.432,.764,.475,.257,.142,.041,20.30,4.89,19.76,4.76,.379,.189,.667
