,防御率,勝利,敗北,セlブ,ホlルド,投球回,被安打,被本塁打,与四死球,奪三振,自責点,WHIP,被安打率,被本打率,奪三振率,与四死率,DIPS,K/BB,HldR,PFR
39,5.27,3.0,6.0,0.0,0.0,42.2,45.0,5.0,12.0,48.0,25.0,1.29,9.49,1.05,10.13,2.53,3.24,4.80,.615,1.36
40,2.01,8.0,7.0,0.0,1.0,147.2,124.0,9.0,12.0,98.0,33.0,0.91,7.56,0.55,5.97,0.73,2.83,8.91,.811,0.74
41,3.60,0.0,1.0,0.0,0.0,10.0,7.0,0.0,5.0,7.0,4.0,1.10,6.30,0.00,6.30,4.50,3.22,1.75,.667,1.10
42,2.95,10.0,9.0,1.0,1.0,155.2,140.0,5.0,54.0,112.0,51.0,1.21,8.09,0.29,6.48,3.12,3.14,2.29,.757,1.03
43,3.38,8.0,9.0,0.0,0.0,152.0,129.0,15.0,59.0,127.0,57.0,1.18,7.64,0.89,7.52,3.49,3.90,2.54,.757,1.16
44,,,,,,,,,,,,,,,,,,,,
45,2.01,8.0,7.0,0.0,1.0,147.2,124.0,9.0,12.0,98.0,33.0,0.91,7.56,0.55,5.97,0.73,2.83,8.91,.811,0.74
46,3.19,3.0,5.0,0.0,1.0,73.1,73.0,2.0,24.0,59.0,26.0,1.28,8.96,0.25,7.24,2.95,2.85,2.81,.747,1.09
47,2.95,10.0,9.0,1.0,1.0,155.2,140.0,5.0,54.0,112.0,51.0,1.21,8.09,0.29,6.48,3.12,3.14,2.29,.757,1.03
48,3.38,8.0,9.0,0.0,0.0,152.0,129.0,15.0,59.0,127.0,57.0,1.18,7.64,0.89,7.52,3.49,3.90,2.54,.757,1.16
49,5.27,3.0,6.0,0.0,0.0,42.2,45.0,5.0,12.0,48.0,25.0,1.29,9.49,1.05,10.13,2.53,3.24,4.80,.615,1.36
50,2.52,3.0,3.0,0.0,1.0,60.2,52.0,8.0,28.0,53.0,17.0,1.25,7.71,1.19,7.86,4.15,4.47,2.21,.875,1.27
51,2.01,8.0,7.0,0.0,1.0,147.2,124.0,9.0,12.0,98.0,33.0,0.91,7.56,0.55,5.97,0.73,2.83,8.91,.811,0.74
52,3.19,3.0,5.0,0.0,1.0,73.1,73.0,2.0,24.0,59.0,26.0,1.28,8.96,0.25,7.24,2.95,2.85,2.81,.747,1.09
53,2.95,10.0,9.0,1.0,1.0,155.2,140.0,5.0,54.0,112.0,51.0,1.21,8.09,0.29,6.48,3.12,3.14,2.29,.757,1.03
54,3.38,8.0,9.0,0.0,0.0,152.0,129.0,15.0,59.0,127.0,57.0,1.18,7.64,0.89,7.52,3.49,3.90,2.54,.757,1.16
55,5.27,3.0,6.0,0.0,0.0,42.2,45.0,5.0,12.0,48.0,25.0,1.29,9.49,1.05,10.13,2.53,3.24,4.80,.615,1.36
56,4.26,2.0,3.0,0.0,5.0,63.1,53.0,5.0,24.0,40.0,30.0,1.20,7.53,0.71,5.68,3.41,4.02,1.74,.653,0.99
57,2.01,8.0,7.0,0.0,1.0,147.2,124.0,9.0,12.0,98.0,33.0,0.91,7.56,0.55,5.97,0.73,2.83,8.91,.811,0.74
58,3.19,3.0,5.0,0.0,1.0,73.1,73.0,2.0,24.0,59.0,26.0,1.28,8.96,0.25,7.24,2.95,2.85,2.81,.747,1.09
59,2.52,3.0,3.0,0.0,1.0,60.2,52.0,8.0,28.0,53.0,17.0,1.25,7.71,1.19,7.86,4.15,4.47,2.21,.875,1.27
60,3.38,8.0,9.0,0.0,0.0,152.0,129.0,15.0,59.0,127.0,57.0,1.18,7.64,0.89,7.52,3.49,3.90,2.54,.757,1.16
61,5.27,3.0,6.0,0.0,0.0,42.2,45.0,5.0,12.0,48.0,25.0,1.29,9.49,1.05,10.13,2.53,3.24,4.80,.615,1.36
62,2.01,8.0,7.0,0.0,1.0,147.2,124.0,9.0,12.0,98.0,33.0,0.91,7.56,0.55,5.97,0.73,2.83,8.91,.811,0.74
63,3.38,8.0,9.0,0.0,0.0,152.0,129.0,15.0,59.0,127.0,57.0,1.18,7.64,0.89,7.52,3.49,3.90,2.54,.757,1.16
64,2.95,10.0,9.0,1.0,1.0,155.2,140.0,5.0,54.0,112.0,51.0,1.21,8.09,0.29,6.48,3.12,3.14,2.29,.757,1.03
65,3.19,3.0,5.0,0.0,1.0,73.1,73.0,2.0,24.0,59.0,26.0,1.28,8.96,0.25,7.24,2.95,2.85,2.81,.747,1.09
66,4.26,2.0,3.0,0.0,5.0,63.1,53.0,5.0,24.0,40.0,30.0,1.20,7.53,0.71,5.68,3.41,4.02,1.74,.653,0.99
67,2.01,8.0,7.0,0.0,1.0,147.2,124.0,9.0,12.0,98.0,33.0,0.91,7.56,0.55,5.97,0.73,2.83,8.91,.811,0.74
68,3.38,8.0,9.0,0.0,0.0,152.0,129.0,15.0,59.0,127.0,57.0,1.18,7.64,0.89,7.52,3.49,3.90,2.54,.757,1.16
69,2.95,10.0,9.0,1.0,1.0,155.2,140.0,5.0,54.0,112.0,51.0,1.21,8.09,0.29,6.48,3.12,3.14,2.29,.757,1.03
70,3.35,3.0,5.0,0.0,0.0,83.1,69.0,10.0,25.0,66.0,31.0,1.10,7.45,1.08,7.13,2.70,4.00,2.87,.750,1.07
71,3.19,3.0,5.0,0.0,1.0,73.1,73.0,2.0,24.0,59.0,26.0,1.28,8.96,0.25,7.24,2.95,2.85,2.81,.747,1.09
72,4.26,2.0,3.0,0.0,5.0,63.1,53.0,5.0,24.0,40.0,30.0,1.20,7.53,0.71,5.68,3.41,4.02,1.74,.653,0.99
73,3.38,8.0,9.0,0.0,0.0,152.0,129.0,15.0,59.0,127.0,57.0,1.18,7.64,0.89,7.52,3.49,3.90,2.54,.757,1.16
74,2.95,10.0,9.0,1.0,1.0,155.2,140.0,5.0,54.0,112.0,51.0,1.21,8.09,0.29,6.48,3.12,3.14,2.29,.757,1.03
75,5.27,3.0,6.0,0.0,0.0,42.2,45.0,5.0,12.0,48.0,25.0,1.29,9.49,1.05,10.13,2.53,3.24,4.80,.615,1.36
76,3.35,3.0,5.0,0.0,0.0,83.1,69.0,10.0,25.0,66.0,31.0,1.10,7.45,1.08,7.13,2.70,4.00,2.87,.750,1.07
77,3.19,3.0,5.0,0.0,1.0,73.1,73.0,2.0,24.0,59.0,26.0,1.28,8.96,0.25,7.24,2.95,2.85,2.81,.747,1.09
78,4.82,1.0,3.0,0.0,0.0,18.2,22.0,3.0,14.0,8.0,10.0,1.55,10.61,1.45,3.86,6.75,6.60,1.14,.788,0.80
79,3.38,8.0,9.0,0.0,0.0,152.0,129.0,15.0,59.0,127.0,57.0,1.18,7.64,0.89,7.52,3.49,3.90,2.54,.757,1.16
80,2.95,10.0,9.0,1.0,1.0,155.2,140.0,5.0,54.0,112.0,51.0,1.21,8.09,0.29,6.48,3.12,3.14,2.29,.757,1.03
81,3.31,1.0,3.0,0.0,0.0,16.1,15.0,0.0,6.0,11.0,6.0,1.29,8.27,0.00,6.06,3.31,2.88,1.83,.714,1.04
82,3.35,3.0,5.0,0.0,0.0,83.1,69.0,10.0,25.0,66.0,31.0,1.10,7.45,1.08,7.13,2.70,4.00,2.87,.750,1.07
83,2.01,8.0,7.0,0.0,1.0,147.2,124.0,9.0,12.0,98.0,33.0,0.91,7.56,0.55,5.97,0.73,2.83,8.91,.811,0.74
84,3.38,8.0,9.0,0.0,0.0,152.0,129.0,15.0,59.0,127.0,57.0,1.18,7.64,0.89,7.52,3.49,3.90,2.54,.757,1.16
85,2.95,10.0,9.0,1.0,1.0,155.2,140.0,5.0,54.0,112.0,51.0,1.21,8.09,0.29,6.48,3.12,3.14,2.29,.757,1.03
86,3.31,1.0,3.0,0.0,0.0,16.1,15.0,0.0,6.0,11.0,6.0,1.29,8.27,0.00,6.06,3.31,2.88,1.83,.714,1.04
87,4.82,1.0,3.0,0.0,0.0,18.2,22.0,3.0,14.0,8.0,10.0,1.55,10.61,1.45,3.86,6.75,6.60,1.14,.788,0.80
88,2.52,3.0,3.0,0.0,1.0,60.2,52.0,8.0,28.0,53.0,17.0,1.25,7.71,1.19,7.86,4.15,4.47,2.21,.875,1.27
89,3.35,3.0,5.0,0.0,0.0,83.1,69.0,10.0,25.0,66.0,31.0,1.10,7.45,1.08,7.13,2.70,4.00,2.87,.750,1.07
90,4.41,0.0,2.0,1.0,1.0,34.2,36.0,3.0,14.0,25.0,17.0,1.36,9.35,0.78,6.49,3.63,4.01,2.27,.702,1.04
91,2.95,10.0,9.0,1.0,1.0,155.2,140.0,5.0,54.0,112.0,51.0,1.21,8.09,0.29,6.48,3.12,3.14,2.29,.757,1.03
92,3.35,3.0,5.0,0.0,0.0,83.1,69.0,10.0,25.0,66.0,31.0,1.10,7.45,1.08,7.13,2.70,4.00,2.87,.750,1.07
93,4.82,1.0,3.0,0.0,0.0,18.2,22.0,3.0,14.0,8.0,10.0,1.55,10.61,1.45,3.86,6.75,6.60,1.14,.788,0.80
94,2.52,3.0,3.0,0.0,1.0,60.2,52.0,8.0,28.0,53.0,17.0,1.25,7.71,1.19,7.86,4.15,4.47,2.21,.875,1.27
95,2.95,10.0,9.0,1.0,1.0,155.2,140.0,5.0,54.0,112.0,51.0,1.21,8.09,0.29,6.48,3.12,3.14,2.29,.757,1.03
96,3.19,3.0,5.0,0.0,1.0,73.1,73.0,2.0,24.0,59.0,26.0,1.28,8.96,0.25,7.24,2.95,2.85,2.81,.747,1.09
97,5.27,3.0,6.0,0.0,0.0,42.2,45.0,5.0,12.0,48.0,25.0,1.29,9.49,1.05,10.13,2.53,3.24,4.80,.615,1.36
98,3.35,3.0,5.0,0.0,0.0,83.1,69.0,10.0,25.0,66.0,31.0,1.10,7.45,1.08,7.13,2.70,4.00,2.87,.750,1.07
99,4.82,1.0,3.0,0.0,0.0,18.2,22.0,3.0,14.0,8.0,10.0,1.55,10.61,1.45,3.86,6.75,6.60,1.14,.788,0.80
100,2.52,3.0,3.0,0.0,1.0,60.2,52.0,8.0,28.0,53.0,17.0,1.25,7.71,1.19,7.86,4.15,4.47,2.21,.875,1.27
101,2.95,10.0,9.0,1.0,1.0,155.2,140.0,5.0,54.0,112.0,51.0,1.21,8.09,0.29,6.48,3.12,3.14,2.29,.757,1.03
102,3.19,3.0,5.0,0.0,1.0,73.1,73.0,2.0,24.0,59.0,26.0,1.28,8.96,0.25,7.24,2.95,2.85,2.81,.747,1.09
103,2.84,2.0,1.0,0.0,3.0,38.0,33.0,2.0,17.0,25.0,12.0,1.21,7.82,0.47,5.92,4.03,3.67,1.92,.792,1.00
104,3.35,3.0,5.0,0.0,0.0,83.1,69.0,10.0,25.0,66.0,31.0,1.10,7.45,1.08,7.13,2.70,4.00,2.87,.750,1.07
105,2.01,8.0,7.0,0.0,1.0,147.2,124.0,9.0,12.0,98.0,33.0,0.91,7.56,0.55,5.97,0.73,2.83,8.91,.811,0.74
106,2.52,3.0,3.0,0.0,1.0,60.2,52.0,8.0,28.0,53.0,17.0,1.25,7.71,1.19,7.86,4.15,4.47,2.21,.875,1.27
107,3.19,3.0,5.0,0.0,1.0,73.1,73.0,2.0,24.0,59.0,26.0,1.28,8.96,0.25,7.24,2.95,2.85,2.81,.747,1.09
108,2.95,10.0,9.0,1.0,1.0,155.2,140.0,5.0,54.0,112.0,51.0,1.21,8.09,0.29,6.48,3.12,3.14,2.29,.757,1.03
109,3.35,3.0,5.0,0.0,0.0,83.1,69.0,10.0,25.0,66.0,31.0,1.10,7.45,1.08,7.13,2.70,4.00,2.87,.750,1.07
110,3.38,8.0,9.0,0.0,0.0,152.0,129.0,15.0,59.0,127.0,57.0,1.18,7.64,0.89,7.52,3.49,3.90,2.54,.757,1.16
111,2.01,8.0,7.0,0.0,1.0,147.2,124.0,9.0,12.0,98.0,33.0,0.91,7.56,0.55,5.97,0.73,2.83,8.91,.811,0.74
112,2.84,2.0,1.0,0.0,3.0,38.0,33.0,2.0,17.0,25.0,12.0,1.21,7.82,0.47,5.92,4.03,3.67,1.92,.792,1.00
113,3.19,3.0,5.0,0.0,1.0,73.1,73.0,2.0,24.0,59.0,26.0,1.28,8.96,0.25,7.24,2.95,2.85,2.81,.747,1.09
114,2.95,10.0,9.0,1.0,1.0,155.2,140.0,5.0,54.0,112.0,51.0,1.21,8.09,0.29,6.48,3.12,3.14,2.29,.757,1.03
115,3.35,3.0,5.0,0.0,0.0,83.1,69.0,10.0,25.0,66.0,31.0,1.10,7.45,1.08,7.13,2.70,4.00,2.87,.750,1.07
116,2.01,8.0,7.0,0.0,1.0,147.2,124.0,9.0,12.0,98.0,33.0,0.91,7.56,0.55,5.97,0.73,2.83,8.91,.811,0.74
117,3.38,8.0,9.0,0.0,0.0,152.0,129.0,15.0,59.0,127.0,57.0,1.18,7.64,0.89,7.52,3.49,3.90,2.54,.757,1.16
118,2.52,3.0,3.0,0.0,1.0,60.2,52.0,8.0,28.0,53.0,17.0,1.25,7.71,1.19,7.86,4.15,4.47,2.21,.875,1.27
119,2.95,10.0,9.0,1.0,1.0,155.2,140.0,5.0,54.0,112.0,51.0,1.21,8.09,0.29,6.48,3.12,3.14,2.29,.757,1.03
120,3.35,3.0,5.0,0.0,0.0,83.1,69.0,10.0,25.0,66.0,31.0,1.10,7.45,1.08,7.13,2.70,4.00,2.87,.750,1.07
121,2.01,8.0,7.0,0.0,1.0,147.2,124.0,9.0,12.0,98.0,33.0,0.91,7.56,0.55,5.97,0.73,2.83,8.91,.811,0.74
122,3.38,8.0,9.0,0.0,0.0,152.0,129.0,15.0,59.0,127.0,57.0,1.18,7.64,0.89,7.52,3.49,3.90,2.54,.757,1.16
123,3.19,3.0,5.0,0.0,1.0,73.1,73.0,2.0,24.0,59.0,26.0,1.28,8.96,0.25,7.24,2.95,2.85,2.81,.747,1.09
124,1.08,1.0,0.0,0.0,6.0,25.0,14.0,1.0,14.0,28.0,3.0,1.08,5.04,0.36,10.08,5.04,3.08,2.15,.926,1.64
125,2.95,10.0,9.0,1.0,1.0,155.2,140.0,5.0,54.0,112.0,51.0,1.21,8.09,0.29,6.48,3.12,3.14,2.29,.757,1.03
126,3.35,3.0,5.0,0.0,0.0,83.1,69.0,10.0,25.0,66.0,31.0,1.10,7.45,1.08,7.13,2.70,4.00,2.87,.750,1.07
127,2.01,8.0,7.0,0.0,1.0,147.2,124.0,9.0,12.0,98.0,33.0,0.91,7.56,0.55,5.97,0.73,2.83,8.91,.811,0.74
128,3.38,8.0,9.0,0.0,0.0,152.0,129.0,15.0,59.0,127.0,57.0,1.18,7.64,0.89,7.52,3.49,3.90,2.54,.757,1.16
129,2.84,2.0,1.0,0.0,3.0,38.0,33.0,2.0,17.0,25.0,12.0,1.21,7.82,0.47,5.92,4.03,3.67,1.92,.792,1.00
130,2.52,3.0,3.0,0.0,1.0,60.2,52.0,8.0,28.0,53.0,17.0,1.25,7.71,1.19,7.86,4.15,4.47,2.21,.875,1.27
131,1.08,1.0,0.0,0.0,6.0,25.0,14.0,1.0,14.0,28.0,3.0,1.08,5.04,0.36,10.08,5.04,3.08,2.15,.926,1.64
132,2.95,10.0,9.0,1.0,1.0,155.2,140.0,5.0,54.0,112.0,51.0,1.21,8.09,0.29,6.48,3.12,3.14,2.29,.757,1.03
133,3.35,3.0,5.0,0.0,0.0,83.1,69.0,10.0,25.0,66.0,31.0,1.10,7.45,1.08,7.13,2.70,4.00,2.87,.750,1.07
134,2.01,8.0,7.0,0.0,1.0,147.2,124.0,9.0,12.0,98.0,33.0,0.91,7.56,0.55,5.97,0.73,2.83,8.91,.811,0.74
135,3.38,8.0,9.0,0.0,0.0,152.0,129.0,15.0,59.0,127.0,57.0,1.18,7.64,0.89,7.52,3.49,3.90,2.54,.757,1.16
136,2.52,3.0,3.0,0.0,1.0,60.2,52.0,8.0,28.0,53.0,17.0,1.25,7.71,1.19,7.86,4.15,4.47,2.21,.875,1.27
137,3.31,1.0,3.0,0.0,0.0,16.1,15.0,0.0,6.0,11.0,6.0,1.29,8.27,0.00,6.06,3.31,2.88,1.83,.714,1.04
138,0.00,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,1.33,3.00,0.00,0.00,9.00,6.12,0.00,1.000,1.00
139,2.01,8.0,7.0,0.0,1.0,147.2,124.0,9.0,12.0,98.0,33.0,0.91,7.56,0.55,5.97,0.73,2.83,8.91,.811,0.74
140,2.84,2.0,1.0,0.0,3.0,38.0,33.0,2.0,17.0,25.0,12.0,1.21,7.82,0.47,5.92,4.03,3.67,1.92,.792,1.00
141,3.38,8.0,9.0,0.0,0.0,152.0,129.0,15.0,59.0,127.0,57.0,1.18,7.64,0.89,7.52,3.49,3.90,2.54,.757,1.16
142,2.52,3.0,3.0,0.0,1.0,60.2,52.0,8.0,28.0,53.0,17.0,1.25,7.71,1.19,7.86,4.15,4.47,2.21,.875,1.27
